Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,18.3,17.5,16.9,17.8,17.4,17.1,14.0,13.3,15.3,15.3,15.0
Argentina,9.3,7.7,8.9,7.7,6.8,7.1,6.6,9.0,8.7,7.5,7.3
Australia,15.5,16.5,13.7,13.5,12.8,12.3,10.3,10.8,11.9,11.9,11.6
Austria,14.6,16.4,15.5,16.2,13.7,13.3,11.3,11.0,11.6,11.9,11.7
Bélgica,10.9,8.9,8.9,8.4,9.0,8.4,7.4,8.0,10.4,10.5,10.4
Bolivia,13.5,6.9,7.9,9.2,8.9,22.3,4.7,4.4,4.9,8.6,8.2
Brasil,19.2,16.5,12.0,11.6,12.8,12.1,11.9,11.6,13.2,11.2,10.6
Canadá,16.6,14.2,13.7,12.1,13.1,13.3,12.8,13.6,16.2,14.0,13.8
Chile,3.2,3.8,2.8,4.2,5.4,5.3,5.3,4.9,3.4,5.5,5.8
China,21.0,23.7,27.4,30.1,30.8,30.5,26.7,25.6,27.5,27.5,28.3
Colombia,7.2,7.2,6.6,5.7,5.0,4.1,2.9,3.7,5.2,5.1,4.9
Corea del Sur,29.8,31.5,32.3,32.9,32.5,32.1,30.5,27.6,28.7,28.6,28.5
Costa Rica,36.4,36.6,44.8,35.7,38.0,44.7,45.4,39.4,44.2,40.0,40.3
Dinamarca,20.8,22.5,20.2,20.3,22.5,19.9,16.8,15.6,17.7,14.2,13.7
El Salvador,4.6,5.5,5.1,4.4,4.3,4.4,4.5,4.3,5.0,5.8,5.9
España,7.8,7.2,7.5,7.3,7.3,6.4,5.1,5.3,6.2,6.4,6.2
EUA,32.6,31.8,30.8,30.3,29.9,30.1,27.2,25.9,21.5,19.9,19.0
Finlandia,24.4,24.1,23.7,20.9,25.1,22.3,18.0,17.2,14.0,10.8,10.0
Francia,23.5,21.5,19.7,19.8,20.3,21.5,18.5,20.0,22.6,24.9,25.1
Grecia,10.3,12.0,12.6,11.8,10.6,11.0,7.4,9.3,10.9,10.1,10.1
Guatemala,7.6,8.5,7.5,7.3,3.4,3.4,3.6,4.2,4.6,5.7,5.5
Holanda,32.7,28.0,31.4,30.5,30.9,29.0,23.3,19.2,20.9,21.3,20.4
Hungría,24.2,24.9,25.8,29.1,25.8,24.1,23.8,23.3,24.9,24.2,24.2
India,7.0,6.2,5.9,6.0,5.8,6.1,6.4,6.8,9.1,7.2,7.2
Irlanda,47.6,40.8,34.7,34.0,34.7,34.5,27.3,25.7,24.3,21.2,19.6
Israel,28.3,23.2,20.9,21.4,14.0,14.5,7.5,11.1,17.6,14.7,13.7
Italia,9.6,9.2,8.0,8.0,8.0,7.3,6.3,6.4,7.5,7.2,7.0
Japón,26.6,24.8,24.4,24.1,23.0,22.1,18.4,17.3,18.8,18.0,17.3
Malasia,58.1,58.2,58.9,55.7,54.6,53.8,52.3,39.9,46.6,44.5,43.4
México,22.1,21.4,21.4,21.3,19.6,19.0,17.2,15.7,18.2,16.9,16.5
Nicaragua,3.2,5.2,4.3,6.6,5.2,7.2,4.4,0.9,5.3,4.8,5.0
Noruega,18.2,20.6,16.8,17.4,16.1,17.2,14.7,14.8,15.8,16.1,15.9
Panamá,2.2,1.9,1.4,2.3,1.0,1.3,2.6,1.2,1.4,0.8,0.7
Perú,4.3,2.6,2.6,2.9,3.2,2.7,2.5,2.7,3.5,6.6,6.9
Polonia,3.2,2.9,3.1,3.3,3.8,3.7,3.0,4.3,6.1,6.7,7.3
Portugal,7.8,7.2,8.5,8.7,8.9,9.3,8.4,8.1,3.8,3.4,3.1
Reino Unido,34.1,31.7,26.3,24.5,28.3,33.9,18.9,18.5,21.8,20.9,19.9
Rep. Checa,10.1,14.5,13.5,13.2,13.0,14.3,13.2,13.6,14.6,15.3,16.0
Rep. Dominicana,1.3,4.1,3.7,4.0,8.4,5.7,11.5,4.9,2.9,3.2,3.5
Rusia,14.0,19.2,19.0,12.9,8.4,7.8,6.9,6.5,9.2,8.8,8.4
Sudáfrica,6.5,5.2,4.8,5.5,6.7,6.5,5.6,5.1,5.4,4.3,4.1
Suecia,17.4,18.2,16.3,17.4,16.9,16.1,11.5,11.2,12.9,13.7,13.3
Suiza,22.7,23.6,24.1,23.7,23.6,23.3,22.8,23.9,25.5,24.8,25.1
Tailandia,31.5,30.8,30.3,28.1,26.7,27.4,26.0,24.6,25.3,24.0,23.4
Turquía,3.9,1.8,1.9,1.9,1.5,1.9,1.9,1.6,1.7,1.9,1.8
Venezuela,3.4,3.4,4.2,2.4,2.3,2.4,0.0,3.5,4.2,5.1,5.3
