Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,2.46,2.49,2.52,2.49,2.49,2.53,2.53,2.68,2.82,2.10,
Argentina,0.42,0.39,0.41,0.44,0.46,0.49,0.51,0.52,0.94,,
Australia,2.18,1.74,2.15,1.85,2.12,2.18,2.16,2.35,2.69,2.52,
Austria,2.07,2.14,2.26,2.26,2.45,2.46,2.52,2.67,2.75,2.75,
Bélgica,2.07,1.94,1.88,1.86,1.83,1.86,1.90,1.96,1.96,,
Bolivia,0.29,0.28,,,,0.33,,,,,
Brasil,1.04,0.98,0.96,0.90,0.97,1.00,1.07,1.08,,,
Canadá,2.09,2.04,2.04,2.07,2.05,1.97,1.91,1.84,1.95,2.42,
Chile,0.53,0.68,0.67,0.68,0.16,0.58,0.33,0.39,,,
China,0.95,1.07,1.13,1.23,1.32,1.39,1.40,1.47,,,
Colombia,0.12,0.12,0.15,0.15,0.16,0.16,0.16,0.15,0.16,,
Corea del Sur,2.47,2.40,2.49,2.68,2.79,3.01,3.21,3.36,,,
Costa Rica,0.21,0.26,0.36,0.37,0.21,0.43,0.36,0.40,,,
Dinamarca,2.39,2.51,2.58,2.48,2.46,2.48,2.58,2.87,3.02,2.98,
El Salvador,,,,,,,0.09,0.11,,,
España,0.91,0.99,1.05,1.06,1.12,1.20,1.27,1.35,1.38,,
EUA,2.72,2.62,2.61,2.54,2.57,2.61,2.67,2.79,2.27,,
Finlandia,3.32,3.37,3.44,3.45,3.48,3.48,3.47,3.72,3.96,3.84,
Francia,2.20,2.24,2.18,2.16,2.11,2.11,2.08,2.12,2.23,,
Grecia,0.58,0.80,0.57,0.55,0.59,0.58,0.58,0.96,1.19,,
Guatemala,,,,,0.03,0.05,0.07,0.06,,,
Holanda,1.80,1.72,1.92,1.93,1.90,1.88,1.81,1.76,1.84,,
Hungría,0.92,1.00,0.93,0.88,0.94,1.00,0.97,1.00,1.15,,
India,0.75,0.74,0.73,0.74,0.78,0.77,0.76,0.95,,,
Irlanda,1.10,1.10,1.17,1.23,1.25,1.25,1.29,1.45,1.77,,
Israel,4.60,4.59,4.32,4.26,4.41,4.43,4.80,4.66,4.27,,
Italia,1.09,1.13,1.11,1.10,1.09,1.13,1.18,1.23,1.27,,
Japón,3.12,3.17,3.20,3.17,3.32,3.40,3.44,3.45,,,
Malasia,,0.65,,0.60,,0.63,0.44,,,,
México,0.39,0.44,0.40,0.40,0.41,0.39,0.37,0.73,,,
Nicaragua,,0.05,,,0.11,,,,,,
Noruega,1.59,1.66,1.71,1.59,1.52,1.52,1.65,1.64,1.80,,
Panamá,0.38,0.36,0.34,0.24,0.25,0.25,0.20,0.21,0.21,,
Perú,0.11,0.10,0.10,0.15,0.18,,,0.46,,,
Polonia,0.62,0.56,0.54,0.56,0.57,0.56,0.57,0.60,0.68,,
Portugal,0.77,0.73,0.71,0.75,0.78,0.99,1.17,1.50,1.66,,
Reino Unido,1.79,1.79,1.75,1.68,1.73,1.75,1.78,1.77,1.87,1.82,
Rep. Checa,1.20,1.20,1.25,1.25,1.41,1.55,1.54,1.47,1.53,,
Rep. Dominicana,0.03,,,,,,,,,,
Rusia,1.18,1.25,1.29,1.15,1.07,1.07,1.12,1.04,1.25,,
Sudáfrica,0.73,,0.79,0.85,0.90,0.93,0.92,0.93,,,
Suecia,4.13,1.60,3.80,3.58,3.56,3.68,3.40,3.70,3.62,3.02,
Suiza,1.95,2.04,2.19,2.90,2.11,1.98,2.07,3.00,2.66,2.61,
Tailandia,0.26,0.24,0.26,0.26,0.23,0.25,0.21,0.22,,,
Turquía,0.54,0.53,0.48,0.52,0.59,0.58,0.72,0.73,0.85,,
Venezuela,0.20,0.29,0.25,0.25,0.34,0.41,0.45,0.39,0.64,,
