Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"3,324.7","3,874.9","4,508.2","5,531.8","7,137.6","6,959.5","8,464.1","10,865.6","18,047.0","14,902.0","14,296.7"
Argentina,46.8,33.5,51.5,61.2,51.1,71.3,106.2,104.8,101.7,145.3,190.0
Australia,316.1,323.8,430.0,516.6,552.4,621.2,691.0,703.3,,,
Austria,137.7,242.8,346.8,372.2,390.7,541.2,742.3,904.5,750.8,676.7,779.9
Bélgica,,648.9,883.3,"1,021.9","1,360.4","1,542.3","1,678.9","1,166.9","2,556.4","2,336.3","2,572.1"
Bolivia,1.6,1.8,1.7,1.8,1.9,1.8,2.0,2.3,2.5,2.8,7.2
Brasil,112.1,100.3,108.1,114.5,101.7,150.3,319.4,465.4,433.8,397.2,590.8
Canadá,"2,412.2","2,496.1","2,809.8","3,008.2","2,765.0","3,173.4","3,504.9","3,599.3","3,420.2","3,813.3","3,946.4"
Chile,24.9,41.1,45.5,48.5,54.0,55.2,61.3,63.6,59.2,64.1,
China,110.0,132.8,107.0,236.4,157.4,204.5,342.6,570.5,429.5,830.5,743.3
Colombia,2.6,4.1,6.0,7.6,9.9,11.3,16.8,29.7,39.0,56.5,58.9
Corea del Sur,923.5,835.3,"1,311.2","1,861.1","1,908.4","2,045.6","1,735.1","2,381.7","3,199.1","3,144.7","4,320.5"
Costa Rica,0.9,1.7,0.5,0.5,0.1,,,0.6,0.6,7.5,4.1
Dinamarca,,,,,,,,,,,
El Salvador,1.2,1.5,0.2,0.1,2.4,0.5,0.3,1.4,0.4,0.4,0.3
España,365.4,370.1,527.9,500.1,564.8,922.6,537.0,801.2,703.4,885.6,"1,065.1"
EUA,"49,489.0","53,859.0","56,814.0","67,093.0","74,448.0","83,550.0","97,802.0","102,126.0","97,182.0","105,583.0","120,619.0"
Finlandia,583.7,560.4,501.0,839.0,"1,206.5","1,069.8","1,281.2","1,488.5","1,754.0","2,329.1","3,076.3"
Francia,"2,602.4","3,335.3","4,074.5","5,169.1","6,217.0","6,230.1","8,841.1","11,041.2","14,057.6","13,150.0","15,701.7"
Grecia,14.0,12.6,18.4,31.8,60.2,66.7,52.3,43.9,48.0,68.7,69.0
Guatemala,,,,2.2,4.5,7.9,10.8,11.9,13.1,13.4,14.7
Holanda,"1,740.4","1,963.5","2,930.2","4,205.2","3,866.5","3,481.2","4,322.4","4,873.3","5,474.5","5,490.7","5,199.5"
Hungría,95.7,349.3,313.3,539.8,837.2,549.8,919.8,864.3,830.9,"1,017.0","1,025.2"
India,37.2,20.2,24.1,52.8,206.0,60.9,163.1,147.8,192.6,128.7,
Irlanda,185.0,282.2,210.7,351.8,773.4,925.3,"1,185.4","1,475.0","1,698.2","2,921.1","5,049.0"
Israel,425.2,420.2,425.2,504.7,574.1,593.0,784.7,803.8,760.6,849.4,"1,066.6"
Italia,443.2,539.0,524.7,768.9,"1,129.8","1,115.5","1,049.6","3,972.6","3,927.6","3,643.1","3,686.1"
Japón,"10,461.6","10,421.7","12,270.8","15,701.3","17,655.3","20,095.6","23,228.6","25,700.6","21,698.0","26,680.3","28,989.3"
Malasia,20.8,12.1,20.3,41.5,27.0,26.2,37.0,199.3,265.7,,
México,40.8,48.3,84.0,51.5,,,,,,,
Nicaragua,,,,,,,,,,,
Noruega,159.1,170.9,194.6,242.0,383.5,384.2,192.0,232.8,124.3,338.6,323.7
Panamá,,,,,,,,,,,
Perú,0.8,0.8,0.5,0.2,1.8,2.7,1.1,1.5,2.2,3.1,5.4
Polonia,48.0,34.0,28.0,30.0,62.0,38.0,103.0,207.0,103.0,237.0,268.0
Portugal,20.5,23.3,29.5,27.4,46.4,70.8,85.0,63.7,148.1,41.0,60.8
Reino Unido,"8,167.3","8,680.6","10,100.1","11,783.4","13,302.2","14,541.2","16,063.4","14,751.6","12,928.3","13,821.7","14,174.4"
Rep. Checa,36.5,45.3,50.3,37.6,39.8,31.7,35.9,57.0,98.9,105.2,107.2
Rep. Dominicana,,,,,,,,,,,
Rusia,60.4,146.8,173.7,227.5,260.2,299.3,396.4,453.4,493.7,625.1,868.1
Sudáfrica,21.5,19.5,26.6,37.4,45.3,45.8,52.9,53.7,47.7,59.2,65.8
Suecia,"1,645.4","1,647.7","2,236.9","3,556.7","3,452.5","4,085.3","4,604.8","4,883.2","4,597.4","5,592.3","6,323.2"
Suiza,,,,,,,,,,,
Tailandia,8.9,7.4,7.5,14.3,16.8,46.4,54.1,100.8,145.2,153.1,
Turquía,,,,,,,,,,,
Venezuela,,,,,,,,,,,
