Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"3,209","3,225","3,261","3,274","3,297","3,390","3,525","3,667","3,780","3,856",
Argentina,688,693,720,769,824,898,983,"1,046","1,956","2,387",
Australia,"3,451","3,733","3,591","4,039","3,396","4,204",,"4,259","3,621","3,554",
Austria,"2,339","2,985","2,324","3,171","3,419","3,529","3,812","4,141","4,122","3,056",
Bélgica,"3,157","2,991","3,001","3,128","3,183","3,330","3,446","3,517","3,491","3,183",
Bolivia,124,120,,,194,185,,,,,
Brasil,441,459,496,535,588,621,658,696,,,
Canadá,"3,701","3,709","3,901","4,082","4,236","4,260","4,335","4,531","4,771","3,432",
Chile,413,440,772,832,877,,334,355,,,
China,581,630,667,712,856,931,"1,077","1,199",,"1,820",
Colombia,98,126,134,144,145,142,156,157,,,
Corea del Sur,"2,950","3,057","3,244","3,336","3,822","4,231","4,672","4,947",,,
Costa Rica,,,132,108,122,,,257,,,
Dinamarca,"3,632","4,757","4,621","4,845","5,200","5,300","5,517","6,494","6,390",,
El Salvador,,,,,,,,,,,
España,"1,964","2,014","2,201","2,363","2,528","2,631","2,749","2,901","2,932","3,083",
EUA,"4,624","4,654","4,911","4,708","4,633","4,721","4,673","4,173",,,
Finlandia,"7,114","7,433","8,008","7,846","7,548","7,674","7,372","7,689","7,647",,
Francia,"2,987","3,119","3,203","3,340","3,320","3,431","3,593","3,690","2,905","3,733",
Grecia,"1,303","1,447","1,407","1,690","1,752","1,774","1,849","1,955","2,399","2,722",
Guatemala,,,,,31,25,35,39,,,
Holanda,"2,853","2,378","2,714","2,983","2,935","3,245","3,105","3,074","2,818","3,284",
Hungría,"1,440","1,473","1,498","1,474","1,574","1,743","1,732","1,846","2,006",,
India,,,,,136,,,,,,
Irlanda,"2,315","2,382","2,503","2,695","2,787","2,883","2,952","3,342","3,373","3,051",
Israel,"2,018","2,012","1,747","2,397","1,865","1,881","1,730","2,536",,"2,867",
Italia,"1,166","1,239","1,215","1,236","1,406","1,497","1,563","1,614","1,690",,
Japón,"5,187","4,943","5,170","5,176","5,385","5,416","5,409","5,189",,,
Malasia,,292,,495,,365,,468,590,,
México,,,323,378,412,336,347,,,,
Nicaragua,,,,,,,,,,,
Noruega,"4,441",,"4,604","4,614","4,683","4,938","5,245","5,444","5,504",,
Panamá,92,97,97,96,106,91,142,111,,,
Perú,,,,,,,,,,,
Polonia,"1,467","1,484","1,534","1,596","1,629","1,561","1,608","1,618","1,598",,
Portugal,"1,708","1,821","1,934","1,969","2,004","2,330","2,656","3,800","4,308",,
Reino Unido,"3,082","3,339","3,635","3,823","4,129","4,196","4,149","4,112","3,947","3,794",
Rep. Checa,"1,466","1,467","1,550","1,598","2,365","2,560","2,703","2,870","2,755","2,841",
Rep. Dominicana,,,,,,,,,,,
Rusia,"3,460","3,381","3,365","3,310","3,230","3,236","3,274","3,152","3,091","2,800",
Sudáfrica,312,,303,379,362,384,396,,,,
Suecia,"5,181",,"5,393","5,434","6,101","6,130","4,979","5,220","5,018",,
Suiza,"3,105","3,034","3,315","3,451","3,458","3,194","2,899","3,320",,"3,428",
Tailandia,277,,277,,307,,316,,,,
Turquía,352,367,492,504,574,618,710,745,804,,
Venezuela,71,70,95,105,122,147,163,188,183,,
