Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"23,213","20,855","21,535","27,193","21,788","22,255","28,660","29,238","24,047","25,632",
Argentina,"12,276","10,415","13,385","14,760","15,956","16,604","22,500","29,465","21,281","33,832","43,283"
Australia,"13,378","15,603","13,545","18,966","20,173","20,558","18,716","23,904","20,410","24,097",
Austria,"3,543","3,631","4,254","4,877","4,415","4,813","5,930","6,426","5,271","5,212",
Bélgica,"2,738","2,655","3,120","3,575","2,784","3,213","3,611","3,038","2,844","2,901",
Bolivia,"1,079","1,024","1,085","1,169","1,126","1,252","1,314","1,741","1,934","2,042","2,342"
Brasil,"28,407","28,746","35,300","39,383","43,206","51,271","65,322","83,187","78,711","97,302","115,167"
Canadá,"14,915","14,842","16,917","20,013","19,451","19,828","22,464","26,967",,,
Chile,"3,528","3,685","3,772","4,368","5,236","5,872","6,244","5,966","5,646","6,861","7,760"
China,"190,663","199,796","209,999","258,707","273,605","301,502","376,300","485,263","515,754","598,706","734,911"
Colombia,"8,171","8,334","7,886","9,262","11,320","11,986","14,772","16,759","16,083","18,673","21,221"
Corea del Sur,"19,576","20,308","21,237","24,169","25,244","26,971","27,128","22,400","20,843","24,075","27,155"
Costa Rica,"1,305","1,300","1,390","1,452","1,623","1,808","1,995","1,922","1,985","2,361","2,382"
Dinamarca,"3,896","3,281","3,615","4,030","3,122","3,085","3,104","2,847","2,436","3,191",
El Salvador,"1,301","1,219","1,249","1,401","1,677","1,830","2,186","2,465","2,368","2,478","2,682"
España,"23,544","25,020","31,612","33,978","32,347","30,698","37,229","38,809","36,056","34,292",
EUA,"113,000","99,600","123,700","147,700","141,800","129,100","146,800","161,500","142,400","158,800",
Finlandia,"3,562","3,753","4,367","4,726","4,712","4,364","6,464","6,798","5,603","5,962",
Francia,"34,300","35,445","40,106","45,338","43,915","42,506","51,292","52,350","41,690",,
Grecia,,,,,,,,,,,
Guatemala,"2,608","2,897","2,906","3,082","3,372","3,405","3,906","4,364","12,501","14,994","4,960"
Holanda,"9,107","9,065","11,262","11,670","11,858","13,235","14,437","14,013","12,222","13,562",
Hungría,"2,413","2,667","3,080","4,216","3,961","3,902","4,689","5,636","3,609","3,836",
India,"104,547","100,211","118,528","125,841","144,052","159,777","207,775","205,073","227,505","278,714","295,768"
Irlanda,"2,630","2,587","3,134","3,573","2,838","2,530","3,258","3,052","1,975",,
Israel,,,,,,,,,,,
Italia,"26,859","28,131","34,389","39,207","35,162","35,228","38,980","41,773","35,960","34,697",
Japón,"59,900","57,919","59,414","61,147","55,415","51,223","49,717","55,143","58,139","63,299",
Malasia,"7,433","9,061","10,256","11,566","11,859","14,008","19,329","23,026","18,646","25,647","34,177"
México,"23,437","23,446","26,485","27,950","30,249","33,564","36,274","38,892","33,221","38,825","41,970"
Nicaragua,895,858,832,925,"1,020","1,074","1,177","1,392","1,340","1,457","1,688"
Noruega,"2,739","2,952","3,062","3,710","4,122","4,504","4,667","4,856","4,133","5,978",
Panamá,860,867,930,988,"1,007","1,050","1,098","1,167","1,133","1,134","1,102"
Perú,"4,076","4,100","4,284","4,626","5,211","5,865","6,881","8,375","8,584","9,536","10,341"
Polonia,"8,661","7,917","8,408","11,466","12,126","12,870","16,103","17,308","13,969","14,624",
Portugal,"3,653","3,730","4,460","5,006","4,625","4,796","4,904","5,267","5,037","4,843",
Reino Unido,"11,997","13,501","16,011","19,536","13,691","14,330","17,264","18,672","14,073","14,555",
Rep. Checa,"2,213","2,272","2,600","3,244","3,380","3,341","3,858","4,949","3,875","4,142",
Rep. Dominicana,"1,669","1,740","1,272","1,437","2,337","2,348","2,458","2,682","2,686","2,958","3,097"
Rusia,"18,015","19,228","23,682","28,986","32,515","38,224","49,115","62,337","49,938","51,196","67,012"
Sudáfrica,"3,785","4,196","5,241","6,113","5,881","6,697","8,569","7,942","7,795","8,133","8,812"
Suecia,"4,130","4,392","5,439","6,182","4,007","5,101","6,951","7,560","6,225","7,395",
Suiza,,,,,,,,,,,
Tailandia,"10,553","11,971","14,845","16,628","18,103","22,296","26,367","31,511","30,234","39,507","42,728"
Turquía,"17,328","23,924","30,074","37,178","45,187","43,866","49,376","55,532","50,823","61,709","61,879"
Venezuela,"5,201","3,574","3,607","4,182","5,377","6,709","8,785","13,124","18,652","21,168",
