Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"377,396","368,718","431,095","474,058","478,100","524,148","612,999","673,131","567,693","572,711","652,569"
Argentina,"38,099","12,205","19,618","29,351","39,306","49,993","63,109","76,047","64,259","81,130","100,694"
Australia,"87,508","95,020","120,103","161,091","186,181","207,764","234,829","301,139","258,514","313,594","365,262"
Austria,"45,140","45,721","57,917","64,942","66,828","69,267","80,440","89,566","79,391","77,341","89,515"
Bélgica,"48,538","48,342","58,900","71,830","77,955","83,687","99,750","113,211","98,477","93,571","106,121"
Bolivia,"1,134","1,237","1,024","1,025","1,241","1,637","2,118","2,876","2,858","3,256","4,545"
Brasil,"94,283","82,623","84,405","106,843","140,607","178,919","238,227","315,895","293,013","417,066","477,467"
Canadá,"140,280","143,487","170,007","201,580","241,519","286,093","323,253","343,663","285,190","347,984","391,335"
Chile,"15,246","14,587","15,745","19,485","26,429","29,488","34,332","44,364","37,490","46,424","57,558"
China,"456,134","527,151","646,254","786,750","905,909","1,103,094","1,366,396","1,844,241","2,293,994","2,712,081","3,330,470"
Colombia,"15,123","16,380","17,147","22,047","28,814","35,168","46,611","56,324","53,189","62,227","76,599"
Corea del Sur,"145,213","164,698","188,884","210,836","243,809","272,993","299,343","272,941","242,546","286,952","306,252"
Costa Rica,"3,002","3,177","3,357","3,462","3,741","4,485","5,732","7,038","6,483","7,192","8,037"
Dinamarca,"31,724","34,055","40,961","47,227","50,296","59,421","67,729","72,332","56,119","52,898","57,529"
El Salvador,"2,269","2,374","2,511","2,474","2,611","3,012","3,279","3,258","2,776","2,853","3,276"
España,"158,360","180,421","240,429","293,098","332,592","377,929","442,375","457,093","343,680","307,257","311,060"
EUA,"1,980,600","1,931,600","2,017,400","2,218,200","2,452,500","2,622,700","2,647,100","2,534,400","2,111,900","2,081,800","2,202,400"
Finlandia,"25,141","25,232","31,108","36,554","39,255","41,579","52,472","58,094","47,239","44,497","51,518"
Francia,"252,736","264,529","328,055","383,914","413,270","452,086","540,105","603,331","510,507","495,686","557,225"
Grecia,"29,172","34,115","46,671","52,141","49,769","59,186","81,255","77,060","63,809","51,560","43,878"
Guatemala,"3,424","4,011","4,091","4,395","4,979","6,079","6,682","7,018","5,709","6,121","6,861"
Holanda,"84,719","87,391","104,795","114,763","120,649","133,443","156,493","178,488","151,108","134,251","148,181"
Hungría,"12,442","15,510","18,751","23,151","25,129","24,469","29,648","33,466","26,170","23,114","23,454"
India,"123,757","124,183","151,782","207,209","253,039","296,970","407,761","395,946","430,354","511,690","545,607"
Irlanda,"23,562","26,619","35,655","45,512","54,145","60,512","66,156","57,599","35,519","24,587","22,398"
Israel,"22,092","19,602","19,846","20,890","22,189","25,402","31,676","37,138","33,202","38,791","45,441"
Italia,"230,588","258,396","310,675","358,135","374,031","400,258","456,495","484,344","409,367","400,698","429,039"
Japón,"1,010,755","910,865","968,001","1,033,217","1,021,375","987,936","983,246","1,088,074","1,047,242","1,102,488","1,214,266"
Malasia,"23,311","23,683","24,701","26,141","32,013","35,719","43,364","47,516","44,447","54,921","63,726"
México,"124,375","124,890","132,625","149,656","169,743","199,001","218,964","242,275","187,907","213,867","243,395"
Nicaragua,"1,284","1,170","1,180","1,389","1,631","1,796","2,200","2,221","1,868","1,947","2,425"
Noruega,"31,012","34,312","39,085","47,401","58,379","67,532","87,649","96,148","81,990","82,626","98,213"
Panamá,"1,794","1,665","2,207","2,351","2,601","3,135","4,555","6,101","5,932","7,364","7,364"
Perú,"10,015","9,963","10,916","12,471","14,553","17,832","23,094","32,800","29,004","38,547","42,646"
Polonia,"39,394","37,125","39,536","45,701","55,380","67,142","91,708","117,842","91,231","93,278","101,675"
Portugal,"32,455","33,859","38,201","43,086","44,039","45,024","51,502","56,593","48,107","44,900","42,952"
Reino Unido,"247,229","270,707","305,164","366,971","381,254","417,756","500,276","444,956","325,100","336,355","347,532"
Rep. Checa,"18,274","21,595","25,547","29,545","33,581","38,060","48,773","60,409","48,588","48,823","51,827"
Rep. Dominicana,"4,727","5,152","3,143","3,251","5,565","6,569","7,763","8,325","6,873","8,427","9,064"
Rusia,"57,912","61,860","79,249","108,660","135,651","183,171","272,877","370,210","268,923","323,671","395,489"
Sudáfrica,"17,833","16,332","26,042","35,014","41,475","47,860","57,757","62,188","64,127","71,247","77,108"
Suecia,"40,778","43,551","53,015","61,677","66,332","74,693","90,544","97,375","72,987","83,452","99,538"
Suiza,"58,459","62,137","69,842","79,082","82,493","87,114","97,831","111,498","101,466","110,593","134,523"
Tailandia,"26,587","28,938","34,331","41,813","50,965","58,180","65,173","74,815","63,636","78,878","90,812"
Turquía,"31,245","38,881","51,547","79,773","101,574","118,337","141,314","145,290","103,689","138,281","168,864"
Venezuela,"29,560","20,366","12,936","20,621","29,539","40,979","57,645","69,752","77,511","73,574","56,117"
