Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"1,914,968","1,915,163","1,907,972","1,930,127","1,943,341","2,015,245","2,081,124","2,103,667","1,995,811","2,078,792","2,141,756"
Argentina,"271,674","242,076","263,469","287,259","313,626","340,178","369,615","394,595","397,950","434,406","472,935"
Australia,"423,671","440,250","454,124","472,959","488,031","502,857","521,872","541,563","548,961","561,751","572,456"
Austria,"193,718","196,999","198,704","203,850","208,744","216,404","224,424","227,647","219,036","223,529","229,556"
Bélgica,"234,552","237,741","239,660","247,507","251,841","258,556","266,011","268,632","261,174","267,496","272,268"
Bolivia,"8,539","8,752","8,989","9,364","9,778","10,247","10,715","11,373","11,755","12,240","12,874"
Brasil,"653,179","670,527","678,217","716,969","739,599","768,854","815,719","857,886","855,070","919,487","944,612"
Canadá,"737,850","759,429","773,714","797,854","821,941","845,145","863,738","869,687","845,599","872,784","894,252"
Chile,"81,985","83,761","87,075","92,336","97,469","101,943","106,633","110,538","109,392","116,060","123,010"
China,"1,297,948","1,416,062","1,557,668","1,714,992","1,908,786","2,151,202","2,456,673","2,692,514","2,940,225","3,246,008","3,547,887"
Colombia,"101,563","104,106","108,185","113,954","119,318","127,309","136,094","140,921","143,248","148,980","157,791"
Corea del Sur,"554,578","594,230","610,885","639,102","664,392","698,799","734,479","751,360","753,760","801,400","830,523"
Costa Rica,"16,118","16,586","17,648","18,400","19,483","21,193","22,875","23,500","23,261","24,350","25,371"
Dinamarca,"161,211","161,962","162,583","166,317","170,384","176,168","178,957","177,554","167,494","170,135","172,014"
El Salvador,"13,359","13,671","13,986","14,245","14,752","15,329","15,918","16,121","15,615","15,829","16,061"
España,"601,641","617,946","637,038","657,801","681,374","709,148","733,821","740,364","712,639","710,360","713,328"
EUA,"10,007,031","10,189,959","10,450,069","10,813,708","11,146,297","11,442,690","11,660,927","11,619,054","11,209,195","11,547,905","11,744,219"
Finlandia,"124,575","126,860","129,413","134,751","138,681","144,797","152,523","152,970","139,909","144,560","148,522"
Francia,"1,350,683","1,363,229","1,375,491","1,410,494","1,436,256","1,471,688","1,505,322","1,504,107","1,456,772","1,481,000","1,506,143"
Grecia,"129,640","134,099","142,069","148,274","151,655","160,012","165,670","165,316","160,132","152,216","141,402"
Guatemala,"19,741","20,504","21,023","21,685","22,392","23,597","25,085","25,908","26,044","26,802","27,839"
Holanda,"392,491","392,790","394,108","402,923","411,168","425,124","441,792","449,762","433,267","440,325","444,696"
Hungría,"48,108","50,275","52,211","54,716","56,885","59,102","59,170","59,699","55,640","56,340","57,293"
India,"498,161","517,627","558,748","602,603","658,553","719,562","790,088","820,830","888,452","973,325","1,040,055"
Irlanda,"102,199","108,202","112,702","117,783","124,072","130,662","137,433","133,349","124,022","123,489","124,360"
Israel,"124,616","123,899","125,773","131,865","138,380","146,121","154,153","160,363","161,706","169,542","177,521"
Italia,"1,124,573","1,129,650","1,129,124","1,148,665","1,159,362","1,184,856","1,204,797","1,190,867","1,125,436","1,145,822","1,150,817"
Japón,"4,748,016","4,761,764","4,842,005","4,956,312","5,020,879","5,105,878","5,217,808","5,163,458","4,878,075","5,094,423","5,058,762"
Malasia,"94,275","99,358","105,109","112,239","118,224","124,829","132,689","139,100","136,995","146,796","154,258"
México,"580,514","585,313","593,223","617,269","637,055","669,865","691,704","699,939","658,266","694,683","721,850"
Nicaragua,"5,259","5,298","5,432","5,720","5,965","6,213","6,525","6,715","6,617","6,825","7,170"
Noruega,"171,638","174,216","175,929","182,898","187,633","192,233","197,333","197,403","194,112","195,425","198,253"
Panamá,"11,687","11,948","12,450","13,387","14,349","15,573","17,459","19,226","19,967","21,486","23,764"
Perú,"53,405","56,086","58,347","61,251","65,433","70,498","76,776","84,302","85,006","92,474","98,769"
Polonia,"173,341","175,843","182,643","192,405","199,364","211,779","226,149","237,743","241,613","251,031","261,950"
Portugal,"119,616","120,530","119,432","121,296","122,236","124,006","126,939","126,928","123,237","124,963","122,878"
Reino Unido,"1,518,285","1,555,224","1,614,554","1,661,508","1,707,602","1,752,007","1,815,652","1,798,079","1,726,615","1,757,683","1,771,012"
Rep. Checa,"60,629","61,932","64,264","67,312","71,857","76,902","81,312","83,832","80,054","82,049","83,597"
Rep. Dominicana,"24,431","25,845","25,779","26,118","28,537","31,582","34,259","36,059","37,305","40,196","41,998"
Rusia,"272,933","285,880","306,737","328,749","349,710","378,224","410,505","432,048","398,258","415,542","433,558"
Sudáfrica,"136,512","141,519","145,693","152,329","160,367","169,354","178,749","185,217","182,370","187,640","193,499"
Suecia,"250,381","256,599","262,593","273,713","282,365","294,498","304,259","302,392","287,189","306,019","317,907"
Suiza,"259,226","259,706","259,761","266,050","273,220","283,470","294,372","300,743","294,918","303,865","309,720"
Tailandia,"125,385","132,052","141,481","150,457","157,385","165,400","173,743","178,060","173,911","187,495","187,639"
Turquía,"251,380","266,875","280,926","307,229","333,041","355,999","372,619","375,074","356,974","389,661","422,795"
Venezuela,"121,124","110,398","101,836","120,458","132,887","146,006","158,787","167,167","161,814","159,405","166,062"
