Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-1.3,-0.7
Australia,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5
Austria,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1
Bélgica,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1
Bolivia,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.9,-0.4
Brasil,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.7,-0.3
Canadá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2
China,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.3,1.2
Colombia,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.1
Corea del Sur,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1
Costa Rica,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.5,0.7
Dinamarca,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.3
El Salvador,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-2.4,-1.2
España,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.7,0.8
EUA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1
Finlandia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francia,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3
Grecia,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.3,0.7
Guatemala,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-2.4,-1.2
Holanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungría,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.4
India,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2
Irlanda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,1.0
Israel,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1
Italia,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.5,0.7
Japón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Malasia,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.7,-0.3
México,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,-0.2
Nicaragua,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-3.5,-1.8
Noruega,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.3,0.6
Panamá,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.6,-0.3
Perú,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,-0.2
Polonia,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2
Portugal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1
Reino Unido,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2
Rep. Checa,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Rep. Dominicana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rusia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudáfrica,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-3.5,-1.7
Suecia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suiza,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.3
Tailandia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Turquía,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.8,0.9
Venezuela,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5
