Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,1.1,,,,0.1,,,,,,
Argentina,21.5,,,,,,,,,,
Australia,16.7,,,,,,,,,7.4,
Austria,0.1,,,,,,,,,,
Bélgica,0.0,,,,0.0,,,,,,
Bolivia,125.38,,,,,,,,,,
Brasil,36.6,,,,31.7,,,,,,
Canadá,,,,,2.3,,,,,4.7,
Chile,21.3,,,,22.9,,,,,,
China,,,,,358.0,,,,,,
Colombia,4.9,,,,,,,,,5.9,
Corea del Sur,,,,,,,,,,,
Costa Rica,,,,,4.1,,,,,,
Dinamarca,0.2,,,,0.1,,,,,0.2,
El Salvador,0.8,,,,1.2,,,,,,
España,23.0,,,,20.1,,,,,19.6,
EUA,,,,,,,,,,,
Finlandia,0.1,,,,0.1,,,,,,
Francia,4.5,,,,3.9,,,,,3.1,
Grecia,8.4,,,,8.5,,,,,,
Guatemala,1.5,,,,1.9,,,,,,
Holanda,0.1,,,,0.1,,,,,0.1,
Hungría,0.7,,,,0.3,,,,,,
India,558.4,,,,,,,,,688.0,
Irlanda,0.0,,,,1.07,,,,,,
Israel,1.0,,,,1.1,,,,,1.0,
Italia,20.0,,,,12.9,,,,,,
Japón,56.8,,,,54.6,,,,,,
Malasia,2.5,,,,2.5,,,,,,
México,56.1,,,,60.6,,,,,61.8,
Nicaragua,1.2,,,,,,,,,1.5,
Noruega,0.8,,,,0.8,,,,,,
Panamá,0.7,,,,,,,,,,
Perú,16.4,,,,,,,,,24.44,
Polonia,1.1,,,,1.1,,,,,1.2,
Portugal,6.2,,,,,,,,,,
Reino Unido,1.3,,,,1.3,,,,,1.1,
Rep. Checa,,,,,,,,,,,
Rep. Dominicana,,,,,16.02,,,,,,
Rusia,,,,,,,,,,,
Sudáfrica,7.8,,,,,,,,,,
Suecia,0.1,,,,0.1,,,,,,
Suiza,0.1,,,,,,,,,0.1,
Tailandia,21.89,,,,51.8,,,,,38.19,
Turquía,31.5,,,,29.6,,,,,34.0,
Venezuela,37.41,,,,,,,,,,
