Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,37.81,36.33,39.54,40.06,36.62,34.62,32.17,31.59,25.91,23.24,22.95
Argentina,11.05,4.62,6.47,8.41,12.22,15.72,21.10,29.11,30.16,39.89,53.15
Australia,5.90,6.15,7.26,9.51,10.77,11.59,13.23,16.38,14.35,17.73,21.47
Austria,3.59,3.49,3.84,3.96,3.72,3.57,3.70,3.30,2.75,2.42,2.42
Bélgica,7.51,7.21,7.84,8.03,7.40,6.92,6.19,6.03,4.97,4.34,4.20
Bolivia,0.87,0.86,0.90,1.00,1.13,1.38,1.62,2.10,2.23,2.58,3.22
Brasil,22.67,18.92,18.99,20.90,25.45,26.37,30.31,33.60,30.20,36.56,38.71
Canadá,40.56,41.65,49.09,56.25,64.28,72.49,80.74,85.19,75.83,89.41,98.42
Chile,3.55,3.20,3.22,3.82,3.98,4.53,4.66,4.44,3.92,4.51,4.75
China,162.42,166.38,175.31,192.64,196.13,220.08,264.59,319.65,329.36,365.32,420.83
Colombia,7.69,7.21,6.55,7.61,8.42,8.80,10.54,11.66,10.52,12.09,13.23
Corea del Sur,8.47,9.67,10.81,12.12,14.19,15.98,17.62,15.64,14.00,17.04,18.74
Costa Rica,1.25,1.28,1.33,1.42,1.52,1.72,2.01,2.27,2.24,2.76,3.11
Dinamarca,0.52,0.51,0.57,0.59,0.57,0.55,0.57,0.57,0.42,0.39,0.38
El Salvador,0.62,0.62,0.64,0.65,0.67,0.70,0.74,0.77,0.72,0.73,0.77
España,13.00,12.88,14.58,15.15,14.42,13.86,12.49,12.14,9.75,8.13,7.65
EUA,276.95,276.79,279.91,287.61,285.69,292.39,296.11,291.25,274.94,275.49,276.61
Finlandia,2.22,2.06,2.14,2.10,1.59,1.44,1.45,1.37,1.03,0.87,0.83
Francia,27.81,27.44,30.79,32.11,30.35,29.13,27.57,27.49,23.12,20.46,20.23
Grecia,0.85,0.87,1.04,1.11,1.06,1.04,1.00,1.01,0.86,0.71,0.64
Guatemala,1.32,1.41,1.43,1.50,1.57,1.68,1.82,2.01,1.86,1.96,2.13
Holanda,8.87,8.99,10.24,10.76,10.44,10.27,10.99,10.51,8.91,8.03,8.04
Hungría,5.07,5.60,6.17,6.59,6.25,5.58,5.18,5.14,3.69,3.29,3.13
India,53.58,52.83,57.95,62.87,67.50,71.31,86.42,79.30,81.88,87.37,89.01
Irlanda,0.59,0.64,0.76,0.83,0.83,0.85,0.85,0.80,0.63,0.54,0.53
Israel,0.91,0.81,0.82,0.82,0.84,0.89,0.99,1.15,1.08,1.16,1.26
Italia,25.55,22.39,22.24,20.49,16.95,14.28,13.04,9.14,6.72,5.23,4.51
Japón,33.72,32.27,34.88,37.74,37.06,35.32,35.31,39.31,40.82,44.49,47.56
Malasia,6.80,7.17,7.60,8.35,9.05,9.95,11.49,13.30,11.30,13.38,15.15
México,16.74,16.50,16.82,17.24,18.19,19.28,19.81,18.68,14.18,15.77,16.59
Nicaragua,0.27,0.31,0.37,0.47,0.70,0.88,1.13,1.46,1.67,2.04,2.64
Noruega,1.58,1.67,1.83,1.97,2.16,2.11,2.29,2.47,1.91,1.99,2.17
Panamá,0.22,0.23,0.24,0.26,0.28,0.31,0.36,0.41,0.43,0.47,0.47
Perú,2.92,2.97,3.10,3.41,3.63,4.07,4.59,5.23,5.06,5.91,6.58
Polonia,11.77,11.08,10.97,11.57,12.59,12.80,14.42,16.24,10.82,10.67,10.58
Portugal,2.29,1.98,1.90,1.71,1.09,0.90,0.81,0.69,0.51,0.39,0.32
Reino Unido,14.25,13.83,14.24,14.99,13.93,11.77,12.05,10.05,7.37,6.77,6.52
Rep. Checa,1.80,1.90,2.00,2.06,2.04,1.74,1.83,1.97,1.49,1.30,1.23
Rep. Dominicana,1.25,1.30,1.02,1.03,1.52,1.58,1.77,1.92,1.92,2.07,2.18
Rusia,53.00,59.66,74.39,102.16,132.07,171.12,224.67,287.10,211.35,257.13,321.14
Sudáfrica,4.66,3.95,5.40,6.35,5.84,5.57,5.52,4.77,4.45,5.16,5.24
Suecia,2.54,2.53,2.86,2.97,2.74,2.66,2.51,2.38,1.79,1.84,1.94
Suiza,2.64,2.66,2.87,2.96,2.59,2.52,2.58,2.77,2.49,2.49,2.74
Tailandia,2.58,2.83,3.18,3.60,3.94,4.62,5.51,6.08,5.89,7.12,7.72
Turquía,10.50,10.77,10.50,11.75,12.52,11.90,12.55,12.24,8.91,9.17,8.41
Venezuela,5.09,3.83,3.44,4.60,5.91,7.42,9.28,12.66,13.16,15.67,12.54
