Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"855,757","830,909","835,658","828,522","809,597","811,881","787,235","786,652","734,599","722,244","710,096"
Argentina,"132,632","123,266","133,127","156,170","155,649","171,179","173,588","182,129","174,718","180,151","185,753"
Australia,"324,860","341,398","346,476","349,223","367,133","377,382","381,357","393,000","400,194","409,576","419,178"
Austria,"65,716","67,179","72,317","71,866","74,510","71,650","69,013","68,232","62,313","61,946","61,581"
Bélgica,"114,766","107,531","114,836","111,282","108,525","106,834","102,529","104,865","103,593","102,420","101,261"
Bolivia,"9,824","9,567","14,129","13,084","12,468","15,049","12,875","13,872","14,488","15,127","15,795"
Brasil,"337,434","332,267","321,622","337,826","347,309","347,668","363,213","387,675","367,147","370,606","374,098"
Canadá,"525,690","519,163","553,185","552,349","563,072","550,233","560,802","544,975","513,937","512,648","511,362"
Chile,"52,757","55,361","55,078","60,047","61,301","62,724","67,344","70,681","66,732","68,497","70,309"
China,"3,487,566","3,694,242","4,525,177","5,288,166","5,790,017","6,414,463","6,791,805","7,037,710","7,687,114","8,392,690","9,163,029"
Colombia,"56,274","55,661","57,422","55,071","60,946","62,940","63,439","66,439","71,231","73,122","75,062"
Corea del Sur,"450,194","465,632","466,215","482,585","462,918","470,806","495,837","508,052","509,376","516,414","523,550"
Costa Rica,"5,761","6,326","6,626","6,931","7,088","7,686","8,573","8,647","8,317","8,663","9,024"
Dinamarca,"49,035","49,266","55,735","50,597","47,099","54,598","49,871","46,850","45,698","45,342","44,988"
El Salvador,"5,948","6,040","6,553","6,366","6,454","6,846","6,927","6,520","6,300","6,340","6,381"
España,"297,830","314,519","321,097","339,429","353,462","350,037","358,237","329,286","288,230","287,182","286,139"
EUA,"5,601,368","5,650,957","5,681,664","5,790,761","5,826,394","5,737,616","5,828,697","5,656,839","5,299,563","5,267,049","5,234,735"
Finlandia,"56,424","61,078","68,888","66,970","54,605","66,101","63,916","56,083","53,568","53,259","52,953"
Francia,"385,827","380,448","387,147","389,707","391,826","382,281","375,684","376,993","363,356","360,941","358,543"
Grecia,"93,806","93,670","95,738","97,150","98,675","97,286","98,246","97,817","94,917","95,041","95,165"
Guatemala,"10,627","11,096","10,502","11,621","12,570","12,699","13,634","12,486","15,203","15,821","16,463"
Holanda,"167,274","172,364","175,041","176,903","172,228","167,201","171,766","173,845","169,650","169,916","170,183"
Hungría,"57,044","56,061","59,061","57,356","57,917","57,235","55,859","54,653","48,676","47,825","46,990"
India,"1,203,843","1,226,791","1,281,914","1,348,525","1,411,128","1,504,365","1,611,404","1,802,158","1,979,425","2,091,874","2,210,712"
Irlanda,"44,030","43,619","43,201","43,810","43,392","43,300","44,583","43,406","41,642","41,385","41,130"
Israel,"65,749","63,146","65,122","63,201","59,211","67,033","67,429","69,310","67,216","67,381","67,546"
Italia,"447,055","449,285","468,349","472,768","473,380","470,175","461,129","447,367","400,836","396,005","391,232"
Japón,"1,202,266","1,216,751","1,237,392","1,259,659","1,238,181","1,231,298","1,251,169","1,207,686","1,101,134","1,090,436","1,079,842"
Malasia,"136,717","135,129","160,266","167,333","182,543","170,648","195,480","209,375","198,348","206,721","215,447"
México,"394,800","391,251","405,633","410,744","435,046","441,796","456,798","476,640","446,237","452,351","458,549"
Nicaragua,"3,964","4,037","4,411","4,426","4,320","4,320","4,591","4,411","4,463","4,522","4,582"
Noruega,"41,092","37,429","42,625","42,666","42,365","44,257","45,122","50,326","47,077","47,794","48,521"
Panamá,"7,008","5,834","6,153","5,548","5,823","6,586","6,289","6,802","7,844","7,943","8,043"
Perú,"27,165","27,187","26,380","31,896","37,418","35,346","43,513","41,276","47,356","50,372","53,581"
Polonia,"302,806","296,932","304,856","304,988","303,521","319,410","315,201","316,059","298,905","298,474","298,044"
Portugal,"62,863","66,820","61,276","63,175","65,309","59,108","60,865","58,357","57,400","56,823","56,251"
Reino Unido,"550,552","531,939","540,640","540,409","541,990","542,045","528,631","522,247","474,579","466,814","459,175"
Rep. Checa,"124,407","120,193","122,379","122,709","120,736","122,786","123,945","116,952","108,121","106,449","104,803"
Rep. Dominicana,"20,235","21,500","21,888","18,786","19,615","21,005","21,503","21,100","20,334","20,345","20,356"
Rusia,"1,558,013","1,557,665","1,604,973","1,602,963","1,615,684","1,669,603","1,667,576","1,715,665","1,574,386","1,576,216","1,578,048"
Sudáfrica,"362,743","347,687","380,811","427,132","396,117","424,844","443,648","464,957","499,016","517,018","535,668"
Suecia,"51,129","57,425","54,781","54,521","51,562","49,571","48,060","49,105","43,744","42,992","42,253"
Suiza,"42,963","40,718","40,205","40,392","41,375","41,877","38,019","40,392","41,598","41,450","41,301"
Tailandia,"217,086","230,636","245,674","267,761","275,164","283,987","275,634","283,723","271,721","278,584","285,619"
Turquía,"194,538","205,678","218,509","225,407","237,369","261,571","284,658","285,274","277,845","289,069","300,747"
Venezuela,"172,525","193,262","192,103","168,268","181,634","169,907","174,549","182,298","184,795","186,211","187,638"
