Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"5,602","9,302","13,446","17,766","22,206","27,621","32,498","38,207","44,072","50,073","56,326"
Argentina,373,622,908,"1,316","1,770","2,632","3,643","4,806","5,482","6,342","7,126"
Australia,"3,127","4,612","5,862","7,760","9,538","11,502","12,251","13,376","14,808","16,280","18,162"
Austria,582,"1,011","1,511","2,060","2,541","3,094","3,791","4,628","5,547","6,729","7,692"
Bélgica,334,598,989,"1,631","2,290","2,811","3,443","4,173","4,969","5,788","6,512"
Bolivia,4,8,15,29,59,89,121,158,190,213,259
Brasil,845,"1,745","2,753","4,553","6,614","9,061","10,933","12,361","13,547","16,938","20,455"
Canadá,"1,552","2,616","3,890","5,382","7,018","8,697","9,763","11,151","12,372","13,459","15,096"
Chile,33,88,187,499,776,"1,151","1,643","2,329","2,905","3,619","4,236"
China,"1,817","4,620","9,684","18,546","31,229","50,071","80,560","119,755","175,071","244,855","326,848"
Colombia,75,144,279,496,771,"1,067","1,376","1,884","2,457","3,496","4,813"
Corea del Sur,"1,733","2,798","4,293","6,902","11,857","17,750","24,142","31,275","39,118","48,799","59,724"
Costa Rica,41,79,117,169,219,274,375,448,538,633,706
Dinamarca,"1,472","2,183","2,669","3,380","4,217","5,212","6,194","7,067","8,014","9,023","10,017"
El Salvador,0,0,0,3,7,11,19,25,37,48,59
España,"3,237","6,465","11,325","17,798","26,418","37,543","51,395","67,838","84,365","102,712","119,053"
EUA,"3,323","5,943","9,496","14,255","19,316","24,901","30,363","35,337","40,562","44,969","49,926"
Finlandia,"1,665","2,415","3,543","4,425","5,348","6,283","7,105","8,096","9,203","10,325","11,494"
Francia,"2,264","3,731","6,075","9,030","12,319","15,366","18,842","22,324","27,002","32,253","40,024"
Grecia,128,217,343,516,770,"1,029","1,307","1,770","2,225","2,785","3,328"
Guatemala,5,6,7,10,17,24,39,57,72,94,112
Holanda,"2,129","3,202","4,364","5,514","6,621","7,749","8,932","10,246","11,572","13,066","14,747"
Hungría,340,980,"1,750","2,632","3,625","4,765","6,302","8,136","9,795","11,617","13,197"
India,768,"1,373","2,252","3,502","5,200","7,216","9,856","13,137","16,936","20,814","24,961"
Irlanda,525,814,"1,032","1,326","1,608","1,859","2,229","2,744","3,271","3,867","4,530"
Israel,160,272,435,682,981,"1,403","1,878","2,217","2,725","3,314","3,798"
Italia,"2,059","4,212","7,278","12,063","19,143","28,968","41,025","53,947","68,489","85,553","106,562"
Japón,"16,694","27,314","40,730","60,314","83,780","106,373","134,328","169,901","209,457","244,309","274,706"
Malasia,658,"1,025","1,395","1,961","2,655","3,248","3,915","4,912","6,193","7,866","9,800"
México,476,845,"1,251","1,743","2,165","2,574","3,313","4,145","5,015","5,823","6,694"
Nicaragua,0,0,0,1,3,6,8,12,17,22,28
Noruega,658,936,"1,286","1,727","2,179","2,745","3,363","4,036","4,810","5,683","6,480"
Panamá,1,2,4,6,10,15,46,56,69,83,96
Perú,35,60,91,132,210,293,407,541,717,"1,118","1,366"
Polonia,432,866,"1,421","2,130","3,078","3,915","5,004","6,548","8,048","9,841","11,741"
Portugal,163,300,548,952,"1,456","2,020","2,476","3,010","3,642","4,480","5,316"
Reino Unido,"6,748","9,665","15,125","21,378","27,433","33,503","40,826","50,281","61,193","75,539","90,770"
Rep. Checa,350,668,"1,187","2,475","4,597","6,808","9,539","12,857","17,541","24,170","28,621"
Rep. Dominicana,2,2,3,4,8,10,22,30,55,87,130
Rusia,15,38,86,204,389,612,879,"1,599","3,102","5,055","5,973"
Sudáfrica,377,641,"1,019","1,412","1,952","2,437","2,967","3,719","4,476","5,291","6,148"
Suecia,"4,291","7,021","9,351","12,829","16,511","20,270","24,070","28,548","32,741","37,363","41,411"
Suiza,"1,995","3,047","4,202","5,550","7,111","8,839","10,714","12,901","15,225","17,800","20,221"
Tailandia,"1,022","1,693","2,429","3,395","4,515","5,884","6,904","7,838","9,702","11,861","14,485"
Turquía,248,383,623,961,"1,879","3,302","4,704","6,615","8,952","10,600","11,899"
Venezuela,23,40,60,77,142,193,242,314,379,445,489
