Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,225,220,220,215,209,194,222,160,181,177,173
Argentina,31,30,41,46,41,46,54,39,25,25,24
Australia,49,48,48,51,45,43,46,42,35,34,32
Austria,266,234,296,131,135,130,110,110,83,73,64
Bélgica,216,212,212,218,217,213,217,165,185,182,179
Bolivia,4,4,4,5,6,4,7,6,6,6,7
Brasil,126,126,165,170,136,141,185,165,125,125,125
Canadá,57,58,59,55,62,47,68,63,60,61,61
Chile,293,308,330,491,435,476,532,713,452,475,498
China,359,373,370,331,408,434,479,463,504,523,543
Colombia,291,309,325,321,445,571,544,492,499,530,563
Corea del Sur,419,412,469,525,643,470,511,480,362,356,351
Costa Rica,509,537,847,727,"1,030",868,790,707,827,872,921
Dinamarca,97,98,136,145,137,139,142,148,103,104,105
El Salvador,68,72,78,87,131,109,153,118,107,113,119
España,176,164,175,165,142,142,158,107,97,91,85
EUA,113,113,120,123,119,126,123,106,109,109,109
Finlandia,140,136,119,133,134,135,124,131,108,105,102
Francia,220,210,222,211,191,189,208,152,148,142,136
Grecia,170,156,216,176,183,125,117,118,82,75,69
Guatemala,99,100,92,125,142,136,124,92,107,108,109
Holanda,461,429,438,357,338,353,302,268,238,221,206
Hungría,97,95,95,99,85,99,110,94,80,78,77
India,94,101,105,115,128,136,143,153,167,178,190
Irlanda,614,597,534,404,389,461,427,378,477,464,451
Israel,259,252,283,321,293,305,346,275,201,195,190
Italia,179,171,178,181,172,177,190,145,117,112,106
Japón,339,334,335,354,348,333,350,278,291,286,281
Malasia,585,603,661,830,775,856,954,"1,036",770,794,818
México,61,60,63,68,74,66,72,49,55,54,53
Nicaragua,28,28,32,33,27,31,29,24,30,31,31
Noruega,207,206,214,215,219,216,221,213,191,189,187
Panamá,40,40,51,42,34,38,34,35,47,48,49
Perú,82,84,86,92,83,93,110,82,106,109,112
Polonia,113,116,129,129,162,159,171,151,142,145,149
Portugal,198,194,177,208,210,135,204,153,168,164,161
Reino Unido,331,319,314,287,273,254,254,208,240,231,223
Rep. Checa,81,82,92,87,90,94,100,87,89,89,90
Rep. Dominicana,77,76,52,59,58,80,95,80,65,64,63
Rusia,13,14,11,11,12,12,14,16,16,16,16
Sudáfrica,58,57,51,55,42,54,53,50,49,48,47
Suecia,105,100,98,98,88,86,89,99,69,66,63
Suiza,197,196,204,216,227,228,229,226,190,190,189
Tailandia,110,111,149,132,113,117,125,131,119,120,121
Turquía,70,73,84,86,87,92,90,72,96,100,104
Venezuela,143,144,169,160,167,123,136,178,157,159,160
