Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,14,14,14,14,14,14,13,13,13,13,12
Argentina,9,8,8,7,7,7,6,6,7,6,6
Australia,1,1,1,1,1,1,1,1,1,1,2
Austria,12,12,9,10,10,10,11,11,12,11,10
Bélgica,21,22,21,21,21,21,22,20,22,21,23
Bolivia,6,5,5,5,3,3,4,3,3,3,2
Brasil,14,14,15,15,15,15,15,14,16,15,15
Canadá,20,20,19,20,20,21,21,22,22,22,23
Chile,7,7,7,7,8,8,7,7,7,6,6
China,3,3,3,3,3,3,3,4,4,4,4
Colombia,11,12,12,13,13,13,14,14,11,11,11
Corea del Sur,16,16,17,17,18,18,17,17,17,16,15
Costa Rica,34,36,33,39,37,35,32,33,35,35,35
Dinamarca,2,2,2,3,3,3,3,3,3,4,5
El Salvador,22,22,23,23,23,24,30,33,34,36,37
España,17,15,16,15,13,14,13,15,16,19,18
EUA,11,11,11,11,11,11,11,11,12,12,12
Finlandia,21,19,18,19,21,19,20,21,22,19,21
Francia,45,46,45,45,45,46,46,46,44,45,48
Grecia,1,1,2,2,2,3,2,2,3,4,3
Guatemala,3,2,4,6,6,6,6,7,6,5,5
Holanda,2,2,2,2,2,2,2,2,2,2,2
Hungría,15,15,11,12,14,13,15,15,17,17,17
India,3,2,2,2,3,3,3,2,2,3,3
Irlanda,1,1,1,1,1,1,2,2,2,2,3
Israel,3,4,4,4,4,4,4,5,5,5,5
Italia,5,5,5,5,4,5,5,5,6,6,7
Japón,19,17,15,16,17,17,15,16,18,17,8
Malasia,1,1,1,1,1,1,1,1,1,1,1
México,7,6,6,6,7,7,7,7,6,6,6
Nicaragua,7,7,8,8,8,9,8,11,10,10,10
Noruega,39,45,34,35,44,38,42,40,39,31,35
Panamá,8,11,9,12,11,10,11,11,10,10,10
Perú,13,14,14,12,12,13,12,11,11,9,9
Polonia,0,0,0,0,0,0,0,0,0,0,0
Portugal,5,3,6,4,2,5,6,5,7,10,9
Reino Unido,11,11,11,10,10,9,8,7,10,9,11
Rep. Checa,10,12,15,16,15,15,15,16,17,17,18
Rep. Dominicana,1,1,1,2,2,2,2,1,2,2,2
Rusia,8,8,8,8,8,8,9,8,9,8,9
Sudáfrica,3,3,3,3,2,2,2,2,2,2,2
Suecia,51,45,44,48,49,46,46,46,43,41,44
Suiza,40,40,40,39,35,37,41,39,39,39,40
Tailandia,1,1,1,1,1,1,1,1,1,0,0
Turquía,4,5,5,6,6,6,5,5,5,7,6
Venezuela,9,9,10,11,10,10,11,11,11,9,9
