Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7
Argentina,128,128,128,128,128,128,128,128,128,128,128
Australia,72,72,72,72,72,72,72,72,72,72,72
Austria,6,6,6,6,6,6,6,6,6,6,6
Bélgica,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Bolivia,130,130,130,130,130,130,130,130,130,130,130
Brasil,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874
Canadá,370,370,370,370,370,370,370,370,370,370,370
Chile,140,140,140,140,140,140,140,140,140,140,140
China,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8
Colombia,510,510,510,510,510,510,510,510,510,510,510
Corea del Sur,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
Costa Rica,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3
Dinamarca,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
El Salvador,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15
España,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9
EUA,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383
Finlandia,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Francia,120,120,120,120,120,120,120,120,120,120,120
Grecia,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
Guatemala,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7
Holanda,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Hungría,6,6,6,6,6,6,6,6,6,6,6
India,432,432,432,432,432,432,432,432,432,432,432
Irlanda,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8
Israel,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225
Italia,43,43,43,43,43,43,43,43,43,43,43
Japón,27,27,27,27,27,27,27,27,27,27,27
Malasia,64,64,64,64,64,64,64,64,64,64,64
México,139,139,139,139,139,139,139,139,139,139,139
Nicaragua,59,59,59,59,59,59,59,59,59,59,59
Noruega,96,96,96,96,96,96,96,96,96,96,96
Panamá,21,21,21,21,21,21,21,21,21,21,21
Perú,303,303,303,303,303,303,303,303,303,303,303
Polonia,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
Portugal,4,4,4,4,4,4,4,4,4,4,4
Reino Unido,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
Rep. Checa,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43
Rep. Dominicana,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7
Rusia,788,788,788,788,788,788,788,788,788,788,788
Sudáfrica,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Suecia,20,20,20,20,20,20,20,20,20,20,20
Suiza,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Tailandia,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9
Turquía,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8
Venezuela,227,227,227,227,227,227,227,227,227,227,227
