Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,2,1,1,2,3,1,0,0,0,0,0
Argentina,0,0,0,1,1,0,0,0,0,0,1
Australia,0,0,0,0,0,0,0,1,0,0,0
Austria,0,0,1,1,0,0,0,0,0,1,0
Bélgica,0,2,2,2,0,2,0,0,0,0,2
Bolivia,4,7,9,9,4,3,1,0,1,0,1
Brasil,0,1,0,1,2,0,0,1,0,0,0
Canadá,1,0,0,1,0,1,2,0,1,1,0
Chile,52,57,55,71,70,44,43,24,23,28,17
China,4,2,1,2,6,0,6,0,0,1,2
Colombia,0,0,0,0,1,0,0,0,0,0,0
Corea del Sur,0,0,1,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,1,0,0,0,0,0,0,0
Dinamarca,0,1,1,2,1,0,0,0,0,0,0
El Salvador,0,1,0,2,0,0,0,0,0,1,0
España,0,0,0,1,0,0,0,0,0,0,0
EUA,2,2,3,2,3,1,1,0,0,0,0
Finlandia,1,2,0,0,0,2,1,2,0,1,0
Francia,0,2,2,3,1,0,2,0,0,0,0
Grecia,3,2,0,3,0,3,0,0,0,0,0
Guatemala,0,1,1,0,0,1,0,0,0,1,0
Holanda,18,27,30,20,33,17,18,4,4,5,6
Hungría,0,0,0,0,0,0,0,0,0,0,0
India,1,0,0,0,1,0,0,0,0,0,0
Irlanda,2,2,2,1,3,2,2,0,0,0,0
Israel,4,0,0,0,1,1,0,1,0,0,0
Italia,0,3,2,0,2,1,2,1,0,1,0
Japón,1,0,0,0,0,0,0,0,0,0,0
Malasia,1,5,1,0,3,4,6,1,2,1,2
México,1,0,0,0,1,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,1,0,0,0,0,0
Noruega,0,0,0,1,0,0,0,0,0,0,0
Panamá,0,1,0,0,0,1,2,0,0,0,0
Perú,2,8,4,5,6,8,3,0,0,0,0
Polonia,0,1,0,0,1,2,0,0,2,0,0
Portugal,2,0,1,0,0,0,1,0,0,0,0
Reino Unido,9,8,10,15,9,9,9,0,5,1,1
Rep. Checa,7,8,8,4,8,9,10,0,1,2,2
Rep. Dominicana,5,5,2,1,1,1,1,0,0,0,0
Rusia,0,0,0,0,0,0,0,0,0,0,0
Sudáfrica,2,0,0,0,1,0,0,0,0,0,0
Suecia,4,2,0,4,3,0,5,0,1,1,0
Suiza,4,6,11,10,2,5,5,2,1,2,1
Tailandia,1,1,0,2,0,0,0,0,0,0,0
Turquía,9,7,11,4,6,5,3,1,0,4,0
Venezuela,2,1,1,2,5,0,1,0,0,0,0
