Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,40,40,41,41,42,42,42,42,42,42,43
Argentina,5,5,5,5,5,5,5,5,5,5,5
Australia,9,10,10,10,10,11,11,11,11,11,11
Austria,23,23,23,23,23,23,23,23,23,23,23
Bélgica,11,11,14,14,14,14,14,14,14,14,14
Bolivia,18,18,18,19,19,19,19,19,19,19,19
Brasil,18,20,21,23,25,26,26,26,26,26,27
Canadá,6,6,7,7,7,7,7,7,7,8,8
Chile,17,17,17,17,17,17,17,17,17,17,17
China,16,17,17,17,17,17,17,17,17,17,17
Colombia,19,20,20,20,20,20,21,21,21,21,21
Corea del Sur,2,2,2,2,2,2,2,2,2,2,2
Costa Rica,21,21,21,21,21,21,21,21,21,21,21
Dinamarca,5,5,5,5,5,5,5,5,5,5,5
El Salvador,0,0,0,0,0,0,1,1,1,1,1
España,9,9,9,9,9,9,9,9,9,9,9
EUA,12,12,12,12,12,12,12,12,12,12,12
Finlandia,9,9,9,9,9,9,9,9,9,9,9
Francia,14,15,16,16,16,16,17,17,17,17,17
Grecia,9,10,10,12,13,14,14,16,16,16,17
Guatemala,29,29,29,30,30,31,31,31,31,31,31
Holanda,12,12,12,12,12,12,12,12,12,12,12
Hungría,5,5,5,5,5,5,5,5,5,5,5
India,5,5,5,5,5,5,5,5,5,5,5
Irlanda,1,1,1,1,2,2,2,2,2,2,2
Israel,18,18,18,18,18,18,18,18,18,18,18
Italia,10,15,15,15,15,15,15,15,15,15,16
Japón,16,16,16,16,16,16,16,16,16,16,17
Malasia,18,18,18,18,18,18,18,18,18,18,18
México,8,9,10,10,10,11,11,11,11,11,12
Nicaragua,37,37,37,37,37,37,37,37,37,37,37
Noruega,10,11,11,12,12,14,14,15,15,15,15
Panamá,19,19,19,19,19,19,19,19,19,19,19
Perú,9,10,10,13,14,14,14,14,14,14,14
Polonia,22,22,22,22,22,22,22,22,22,22,22
Portugal,8,8,8,8,8,8,8,8,8,8,8
Reino Unido,25,25,26,26,26,26,26,26,26,26,27
Rep. Checa,15,15,15,15,15,15,15,15,15,15,15
Rep. Dominicana,22,22,22,22,22,22,22,22,22,22,22
Rusia,9,9,9,9,9,9,9,9,9,9,9
Sudáfrica,7,7,7,7,7,7,7,7,7,7,7
Suecia,10,10,11,11,11,11,11,11,11,11,11
Suiza,23,23,23,24,24,24,25,25,25,25,25
Tailandia,20,20,20,20,20,20,20,20,20,20,20
Turquía,2,2,2,2,2,2,2,2,2,2,2
Venezuela,54,54,54,54,54,54,54,54,54,54,54
