Region	2011
Alemania	512.78
Argentina	388.07
Australia	514.34
Austria	495.91
Bélgica	515.27
Bolivia	
Brasil	385.81
Canadá	526.81
Chile	421.06
China	
Colombia	380.85
Corea del Sur	546.23
Costa Rica	
Dinamarca	503.28
El Salvador	
España	483.49
EUA	487.4
Finlandia	540.5
Francia	496.78
Grecia	466.1
Guatemala	
Holanda	525.84
Hungría	490.17
India	
Irlanda	487.14
Israel	446.86
Italia	482.91
Japón	528.99
Malasia	
México	418.51
Nicaragua	
Noruega	497.96
Panamá	359.75
Perú	365.11
Polonia	494.8
Portugal	486.89
Reino Unido	492.41
Rep. Checa	492.81
Rep. Dominicana	
Rusia	467.81
Sudáfrica	
Suecia	494.24
Suiza	533.96
Tailandia	418.58
Turquía	445.45
Venezuela	
