Region	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Alemania	0.86	0.87	0.88	0.88	0.9	0.91	0.91	0.91	0.91	0.92	0.92
Argentina	0.75	0.75	0.76	0.77	0.76	0.78	0.79	0.79	0.8	0.81	0.81
Australia	0.91	0.91	0.92	0.93	0.92	0.93	0.93	0.93	0.93	0.94	0.94
Austria	0.84	0.85	0.85	0.86	0.86	0.87	0.88	0.89	0.89	0.89	0.89
Bélgica	0.88	0.88	0.89	0.89	0.87	0.89	0.89	0.89	0.89	0.9	0.9
Bolivia	0.61	0.62	0.62	0.63	0.65	0.65	0.65	0.66	0.66	0.67	0.67
Brasil	0.67	0.67	0.68	0.68	0.69	0.7	0.71	0.72	0.72	0.73	0.73
Canadá	0.88	0.88	0.89	0.9	0.89	0.91	0.91	0.91	0.91	0.91	0.91
Chile	0.75	0.75	0.76	0.77	0.78	0.79	0.8	0.81	0.81	0.81	0.82
China	0.59	0.59	0.6	0.6	0.63	0.65	0.66	0.67	0.68	0.69	0.7
Colombia	0.65	0.66	0.66	0.67	0.67	0.69	0.7	0.7	0.71	0.71	0.72
Corea del Sur	0.83	0.84	0.84	0.85	0.87	0.88	0.89	0.9	0.9	0.91	0.91
Costa Rica	0.7	0.71	0.71	0.72	0.72	0.74	0.74	0.75	0.75	0.77	0.77
Dinamarca	0.86	0.87	0.87	0.88	0.89	0.9	0.9	0.9	0.9	0.9	0.9
El Salvador	0.62	0.62	0.63	0.63	0.65	0.66	0.67	0.67	0.67	0.68	0.68
España	0.84	0.84	0.85	0.86	0.86	0.87	0.87	0.88	0.88	0.88	0.89
EUA	0.9	0.9	0.91	0.92	0.9	0.93	0.93	0.93	0.93	0.93	0.94
Finlandia	0.84	0.84	0.85	0.85	0.87	0.89	0.89	0.89	0.89	0.89	0.89
Francia	0.85	0.85	0.86	0.86	0.87	0.88	0.89	0.89	0.89	0.89	0.89
Grecia	0.8	0.81	0.81	0.82	0.86	0.87	0.87	0.87	0.87	0.87	0.86
Guatemala	0.53	0.53	0.53	0.54	0.55	0.56	0.57	0.57	0.58	0.58	0.58
Holanda	0.88	0.89	0.89	0.9	0.89	0.91	0.91	0.91	0.92	0.92	0.92
Hungría	0.77	0.78	0.79	0.79	0.8	0.83	0.83	0.83	0.83	0.83	0.83
India	0.46	0.46	0.47	0.47	0.5	0.52	0.53	0.53	0.54	0.55	0.55
Irlanda	0.87	0.87	0.88	0.89	0.9	0.91	0.92	0.92	0.92	0.92	0.92
Israel	0.86	0.86	0.87	0.87	0.87	0.89	0.89	0.89	0.89	0.9	0.9
Italia	0.83	0.83	0.84	0.84	0.86	0.87	0.88	0.88	0.88	0.88	0.88
Japón	0.87	0.87	0.88	0.89	0.89	0.9	0.9	0.91	0.9	0.91	0.91
Malasia	0.71	0.71	0.72	0.72	0.74	0.75	0.75	0.76	0.76	0.76	0.77
México	0.72	0.72	0.73	0.73	0.74	0.75	0.76	0.76	0.76	0.77	0.77
Nicaragua	0.53	0.54	0.54	0.54	0.57	0.58	0.58	0.59	0.59	0.59	0.6
Noruega	0.91	0.92	0.93	0.93	0.94	0.95	0.95	0.95	0.95	0.95	0.95
Panamá	0.72	0.72	0.73	0.73	0.74	0.75	0.76	0.76	0.77	0.77	0.78
Perú	0.67	0.68	0.68	0.69	0.69	0.71	0.72	0.72	0.72	0.73	0.74
Polonia	0.77	0.78	0.78	0.79	0.79	0.8	0.81	0.81	0.81	0.82	0.82
Portugal	0.78	0.78	0.79	0.79	0.79	0.8	0.81	0.81	0.81	0.82	0.82
Reino Unido	0.83	0.84	0.84	0.85	0.86	0.86	0.87	0.87	0.87	0.87	0.88
Rep. Checa	0.82	0.82	0.83	0.83	0.85	0.87	0.87	0.87	0.87	0.87	0.87
Rep. Dominicana	0.64	0.64	0.65	0.65	0.66	0.68	0.68	0.69	0.69	0.7	0.7
Rusia	0.69	0.7	0.7	0.71	0.72	0.76	0.77	0.78	0.78	0.78	0.78
Sudáfrica	0.62	0.62	0.62	0.63	0.6	0.61	0.61	0.61	0.62	0.62	0.63
Suecia	0.89	0.9	0.91	0.91	0.9	0.91	0.91	0.91	0.91	0.91	0.92
Suiza	0.87	0.88	0.89	0.89	0.89	0.9	0.9	0.9	0.91	0.91	0.91
Tailandia	0.63	0.63	0.64	0.64	0.66	0.67	0.68	0.68	0.68	0.69	0.69
Turquía	0.63	0.64	0.64	0.65	0.67	0.69	0.7	0.7	0.71	0.72	0.72
Venezuela	0.66	0.66	0.67	0.67	0.69	0.7	0.71	0.74	0.74	0.74	0.75
