Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Argentina,2.81,2.74,2.67,2.61,2.55,2.49,2.43,2.37,2.31,2.20,2.15
Australia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Austria,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Bélgica,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Bolivia,13.28,12.69,12.13,11.59,11.08,10.59,9.26,9.30,8.83,8.44,8.07
Brasil,12.33,12.01,11.69,11.38,11.08,10.38,9.99,9.96,9.70,9.45,9.20
Canadá,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Chile,4.91,4.28,3.74,3.27,2.85,2.49,2.17,1.35,1.45,1.26,1.10
China,12.40,11.47,10.62,9.83,9.10,8.43,7.80,7.22,6.68,5.73,5.30
Colombia,7.45,7.37,7.28,7.20,7.15,7.70,7.35,6.62,6.76,6.63,6.55
Corea del Sur,2.33,2.10,1.90,1.71,1.54,1.38,1.24,1.00,1.00,1.00,1.00
Costa Rica,5.10,4.96,4.82,4.68,4.55,4.43,4.30,4.18,4.07,3.84,3.74
Dinamarca,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
El Salvador,22.58,21.75,20.95,20.17,19.43,16.44,17.97,16.05,15.90,15.51,14.94
España,2.25,2.25,2.25,2.25,2.25,2.25,2.06,2.37,2.32,2.25,2.25
EUA,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Finlandia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Francia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Grecia,4.01,3.87,3.73,3.60,3.48,3.36,3.24,3.13,3.02,2.81,2.71
Guatemala,31.76,30.90,30.06,29.25,28.46,27.69,26.94,26.21,25.51,24.82,24.15
Holanda,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Hungría,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
India,38.99,38.69,38.40,38.11,37.82,37.25,36.96,36.68,36.40,36.13,35.86
Irlanda,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Israel,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90
Italia,1.58,1.52,1.46,1.41,1.35,1.30,1.25,1.20,1.15,1.07,1.03
Japón,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Malasia,11.30,10.75,10.23,9.74,9.27,8.82,8.39,7.99,7.60,6.88,6.55
México,10.10,9.73,9.37,9.05,8.37,8.27,7.20,7.07,6.56,6.93,6.68
Nicaragua,23.32,23.05,22.78,22.52,22.00,21.74,21.49,21.24,20.99,20.75,20.51
Noruega,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Panamá,8.10,7.85,7.60,7.37,7.14,6.92,6.70,6.49,6.29,5.91,5.72
Perú,14.00,13.42,12.86,12.33,12.09,11.30,10.41,9.98,9.56,9.17,8.79
Polonia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Portugal,6.20,6.05,5.90,5.75,5.61,5.47,5.33,5.20,5.09,4.82,4.70
Reino Unido,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Rep. Checa,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Rep. Dominicana,13.32,13.00,12.69,12.39,12.09,11.81,11.76,11.47,11.20,10.46,10.21
Rusia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Sudáfrica,14.66,14.12,13.60,13.10,12.62,12.16,11.28,10.87,10.47,10.09,9.72
Suecia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Suiza,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Tailandia,7.40,7.21,7.02,6.84,6.49,6.33,6.16,6.00,5.85,5.70,5.55
Turquía,14.82,14.05,13.32,12.63,11.77,11.88,11.34,10.76,9.18,8.71,8.26
Venezuela,7.02,6.68,6.36,6.05,5.75,5.48,4.85,4.61,4.49,4.27,4.06
