Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,4.8,4.8,4.8,4.8,4.8,4.8,5.0,4.8,4.7,4.9,4.8
Argentina,3.7,3.7,3.7,3.7,3.7,3.7,3.5,3.5,3.7,3.7,3.7
Australia,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.2,5.2,5.4
Austria,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.2,5.1,5.0
Bélgica,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.7,5.9,5.9
Bolivia,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.8,3.0,3.2
Brasil,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.4,3.4,3.4
Canadá,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.8,5.7
Chile,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,4.1
China,3.7,3.7,3.7,3.7,3.7,3.7,3.9,4.3,4.5,4.7,4.7
Colombia,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.6,3.7,4.0
Corea del Sur,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.3,5.0,4.9,5.0
Costa Rica,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.3,4.5,4.7,4.6
Dinamarca,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.5,5.3
El Salvador,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.1,3.2,3.2,3.1
España,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.2,4.0,4.2
EUA,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.2,5.1
Finlandia,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.2,5.9,5.8,5.9
Francia,5.6,5.6,5.6,5.6,5.6,5.6,5.4,5.4,5.3,5.2,5.0
Grecia,4.0,4.0,4.0,4.0,4.0,4.0,3.8,3.7,3.7,3.6,3.6
Guatemala,2.8,2.8,2.8,2.8,2.8,2.8,3.1,3.1,3.1,3.2,3.3
Holanda,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.4,5.5,5.5,5.6
Hungría,4.9,4.9,4.9,4.9,4.9,4.9,4.5,4.2,4.4,4.5,4.4
India,5.0,5.0,5.0,5.0,5.0,5.0,4.8,4.6,4.6,4.5,4.5
Irlanda,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.1,5.0,4.8,4.8
Israel,5.3,5.3,5.3,5.3,5.3,5.3,5.2,4.6,3.8,4.2,4.6
Italia,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.7,3.7,3.8,4.0
Japón,5.0,5.0,5.0,5.0,5.0,5.0,4.7,4.5,4.6,4.6,4.6
Malasia,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.9,4.7,4.8,5.1
México,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.3,3.3,3.3,3.6
Nicaragua,3.0,3.0,3.0,3.0,3.0,3.0,2.8,2.7,2.9,2.8,2.7
Noruega,4.9,4.9,4.9,4.9,4.9,4.9,5.1,5.1,5.0,5.0,4.9
Panamá,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.2
Perú,3.1,3.1,3.1,3.1,3.1,3.1,2.9,2.9,3.1,3.4,3.4
Polonia,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.3,4.4,4.3,4.2
Portugal,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.2,4.3,4.4
Reino Unido,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.0,5.0,5.1,5.3
Rep. Checa,5.1,5.1,5.1,5.1,5.1,5.1,5.0,5.1,5.1,4.9,4.5
Rep. Dominicana,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9
Rusia,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.2,4.0,4.0,3.9
Sudáfrica,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.2,3.1,3.2,3.3
Suecia,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.5,5.5,5.6,5.5
Suiza,5.8,5.8,5.8,5.8,5.8,5.8,5.9,5.9,6.0,6.0,6.0
Tailandia,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.3,4.1,4.3,4.1
Turquía,3.9,3.9,3.9,3.9,3.9,3.9,4.0,3.8,3.8,3.6,3.6
Venezuela,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.4
