Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,5,5,5,5,5,5,5,4,4,4,4
Argentina,20,19,18,18,17,17,16,16,15,15,14
Australia,6,6,6,6,6,6,5,5,5,5,5
Austria,5,5,5,5,5,5,5,5,4,4,4
Bélgica,6,5,5,5,5,5,5,5,5,4,4
Bolivia,77,74,71,68,65,62,60,57,55,53,51
Brasil,34,32,29,27,25,23,21,20,18,17,16
Canadá,6,6,6,6,6,6,6,6,6,6,6
Chile,10,10,10,10,9,9,9,9,9,9,9
China,33,30,28,26,24,22,20,19,17,16,15
Colombia,24,24,23,22,21,21,20,20,19,18,18
Corea del Sur,6,6,6,5,5,5,5,5,5,5,5
Costa Rica,12,12,11,11,11,11,10,10,10,10,10
Dinamarca,6,5,5,5,5,5,5,4,4,4,4
El Salvador,32,29,27,25,24,22,20,19,18,16,15
España,6,6,6,6,6,6,5,5,5,5,4
EUA,8,8,8,8,8,8,8,8,8,8,8
Finlandia,4,4,4,4,4,4,4,3,3,3,3
Francia,5,5,5,5,5,5,4,4,4,4,4
Grecia,7,7,6,6,6,5,5,5,5,5,4
Guatemala,46,44,43,41,39,38,36,34,33,32,30
Holanda,6,6,6,6,5,5,5,5,4,4,4
Hungría,10,10,9,9,8,8,8,7,7,7,6
India,85,82,80,77,75,72,70,68,66,63,61
Irlanda,7,6,6,6,5,5,5,5,4,4,4
Israel,7,6,6,6,6,5,5,5,5,5,4
Italia,5,5,5,5,5,4,4,4,4,4,4
Japón,4,4,4,4,4,4,4,3,3,3,3
Malasia,10,10,9,9,9,8,8,7,7,7,7
México,28,26,25,23,22,21,20,19,18,17,16
Nicaragua,40,39,37,35,34,32,31,30,28,27,26
Noruega,5,5,4,4,4,4,4,4,3,3,3
Panamá,25,25,24,23,23,22,22,21,21,20,20
Perú,36,34,32,30,28,26,24,22,21,19,18
Polonia,9,9,8,8,8,7,7,7,6,6,6
Portugal,7,6,6,5,5,5,4,4,4,4,3
Reino Unido,7,6,6,6,6,6,6,6,5,5,5
Rep. Checa,6,6,6,6,5,5,5,5,4,4,4
Rep. Dominicana,37,36,34,33,32,30,29,28,27,26,25
Rusia,20,19,18,17,17,16,15,14,13,13,12
Sudáfrica,76,78,79,79,78,76,71,67,61,53,47
Suecia,4,4,4,4,4,3,3,3,3,3,3
Suiza,6,6,5,5,5,5,5,5,5,5,4
Tailandia,18,17,17,16,16,15,14,14,13,13,12
Turquía,33,30,28,26,24,22,21,19,18,16,15
Venezuela,22,21,20,19,19,18,17,17,16,16,15
