Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,146,145,144,140,138,133,127,126,133,130,129
Argentina,33,38,37,32,29,26,23,20,21,22,21
Australia,89,89,94,98,102,108,114,121,126,131,137
Austria,124,123,122,120,125,127,124,128,138,136,137
Bélgica,121,114,109,103,102,104,107,113,117,116,115
Bolivia,58,54,51,47,43,37,35,33,34,34,32
Brasil,62,58,61,62,66,71,75,78,83,83,85
Canadá,111,134,129,126,130,141,141,141,0,0,0
Chile,64,66,64,62,63,63,67,78,83,71,71
China,116,122,128,127,121,114,109,110,123,131,132
Colombia,29,29,28,31,33,34,36,38,38,38,39
Corea del Sur,80,84,90,88,89,95,99,107,111,105,108
Costa Rica,29,32,34,38,40,40,42,48,52,50,53
Dinamarca,149,156,161,163,172,184,199,217,234,220,228
El Salvador,46,43,43,44,44,44,43,44,45,43,43
España,115,119,124,132,144,163,182,206,226,230,246
EUA,57,58,58,58,60,62,65,70,70,65,65
Finlandia,60,63,66,69,74,79,81,88,97,97,102
Francia,103,104,105,106,108,111,116,123,129,130,133
Grecia,84,86,84,85,93,99,103,110,112,129,135
Guatemala,24,24,26,29,31,35,37,37,36,35,37
Holanda,144,149,156,164,171,174,184,200,221,218,227
Hungría,41,44,49,54,59,64,72,80,87,82,88
India,44,49,52,52,54,55,58,63,63,62,64
Irlanda,106,107,111,123,144,166,186,220,242,245,266
Israel,89,96,96,93,94,95,98,105,102,101,102
Italia,91,93,96,98,101,104,115,128,137,145,152
Japón,199,154,154,154,155,157,154,161,178,180,178
Malasia,137,128,124,117,114,112,107,105,127,124,123
México,31,29,26,25,25,26,29,30,34,34,34
Nicaragua,26,22,26,29,33,37,40,41,39,36,37
Noruega,70,74,77,76,77,82,84,87,89,91,94
Panamá,99,92,82,77,79,80,80,82,82,83,81
Perú,28,26,24,21,20,19,20,23,26,24,24
Polonia,35,37,39,39,39,41,45,55,37,0,0
Portugal,133,138,140,138,142,149,159,174,190,201,210
Reino Unido,128,132,136,142,151,160,173,198,215,203,212
Rep. Checa,50,48,49,48,48,51,56,63,68,70,72
Rep. Dominicana,33,35,32,27,21,21,21,23,24,24,23
Rusia,21,23,24,26,27,30,34,39,50,46,50
Sudáfrica,75,70,66,69,71,75,81,85,88,82,83
Suecia,77,105,105,105,111,116,122,132,142,139,147
Suiza,168,166,168,168,172,174,177,179,185,186,188
Tailandia,117,114,115,113,112,107,101,104,108,105,103
Turquía,35,35,36,36,40,44,46,50,59,64,68
Venezuela,14,13,12,12,13,17,22,17,25,22,23
