Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,16.00
Argentina,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,3.00,1.00,1.00
Australia,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,1.50,5.00
Austria,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,8.00,8.00,8.00
Bélgica,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,3.00,3.00
Bolivia,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
Brasil,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,1.00
Canadá,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,2.00,2.00
Chile,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,6.00,6.00
China,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Colombia,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,1.02,1.02
Corea del Sur,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,50.00,50.00,50.00
Costa Rica,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
Dinamarca,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.00,5.00,20.00
El Salvador,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
España,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
EUA,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
Finlandia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,10.00
Francia,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,8.00,8.00,8.00
Grecia,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,2.00,2.00,2.00
Guatemala,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
Holanda,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,8.00,8.00
Hungría,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,5.00,1.00
India,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,2.00
Irlanda,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,8.00
Israel,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.50,1.50
Italia,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
Japón,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,12.00,12.00
Malasia,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
México,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,1.00,1.00,6.00
Nicaragua,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
Noruega,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50
Panamá,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.60,1.00,1.00
Perú,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.51
Polonia,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.26,1.00,0.26
Portugal,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,8.00,12.00,12.00
Reino Unido,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,20.00,20.00
Rep. Checa,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,2.00,2.00
Rep. Dominicana,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.60,1.00
Rusia,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,4.10,1.80,2.00
Sudáfrica,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
Suecia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,6.00,6.00,10.00
Suiza,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00
Tailandia,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,6.00,7.00
Turquía,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,8.00,1.00
Venezuela,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.51,0.51,0.51
