Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,100,100,100,100,100,100,100,100,100,100,100
Argentina,30,30,30,30,30,30,30,30,31,31,31
Australia,41,41,41,42,42,42,42,43,43,44,44
Austria,100,100,100,100,100,100,100,100,100,100,100
Bélgica,78,78,78,78,78,78,78,78,78,78,78
Bolivia,7,7,7,7,7,7,7,8,8,8,8
Brasil,11,11,11,11,12,12,12,12,12,13,13
Canadá,40,40,40,40,40,40,40,40,39,39,39
Chile,20,21,21,21,21,21,21,22,22,22,22
China,31,33,36,38,41,44,50,54,57,61,66
Colombia,13,13,13,13,14,14,15,15,15,15,15
Corea del Sur,77,77,77,87,77,78,78,79,79,80,80
Costa Rica,22,22,23,24,24,25,26,25,26,26,26
Dinamarca,100,100,100,100,100,100,100,100,100,100,100
El Salvador,20,20,20,20,20,20,20,20,20,20,20
España,99,99,99,99,99,99,100,100,100,100,100
EUA,65,66,66,65,65,66,65,67,68,68,68
Finlandia,64,64,65,65,65,65,65,65,66,66,66
Francia,100,100,100,100,100,100,100,100,100,100,100
Grecia,31,32,32,32,33,33,34,34,35,35,36
Guatemala,35,35,36,37,38,39,40,41,43,44,46
Holanda,100,100,100,100,100,100,100,100,100,100,100
Hungría,44,44,44,43,42,38,38,38,38,37,36
India,48,47,48,49,47,48,48,50,50,50,50
Irlanda,100,100,100,100,100,100,100,100,100,100,100
Israel,100,100,100,100,100,100,100,100,100,100,100
Italia,100,100,100,100,100,100,100,100,100,100,100
Japón,77,78,78,78,79,79,80,80,80,80,81
Malasia,78,79,81,81,82,83,84,85,85,86,87
México,33,34,36,36,37,33,35,35,36,36,36
Nicaragua,11,11,11,11,11,11,12,12,12,12,12
Noruega,77,78,78,78,79,80,80,81,81,81,82
Panamá,35,35,36,37,38,39,39,40,42,43,44
Perú,13,14,13,14,14,14,14,14,14,14,14
Polonia,68,68,69,69,69,69,69,70,70,70,70
Portugal,85,85,86,86,86,87,87,87,87,88,88
Reino Unido,100,100,100,100,100,100,100,100,100,100,100
Rep. Checa,100,100,100,100,100,100,100,100,100,100,100
Rep. Dominicana,49,49,50,50,50,50,50,50,50,50,50
Rusia,83,83,82,82,81,81,80,80,79,79,78
Sudáfrica,17,17,17,18,18,18,18,18,18,18,18
Suecia,31,31,31,31,31,32,32,32,32,32,32
Suiza,100,100,100,100,100,100,100,100,100,100,100
Tailandia,90,90,91,91,91,88,88,91,92,95,95
Turquía,92,93,93,93,93,93,94,94,94,94,95
Venezuela,34,33,33,33,33,33,33,33,33,32,32
