Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0
Australia,"4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400","4,400"
Austria,0,0,0,0,0,0,0,0,0,0,0
Bélgica,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0
Brasil,"14,000","14,000","14,000","14,000","14,000","14,000","14,000","14,000","14,000","14,000","14,000"
Canadá,0,0,0,0,0,0,0,0,0,0,0
Chile,"16,600","16,600","16,600","16,600","16,600","16,600","16,600","16,600","16,600","16,600","16,600"
China,"8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500"
Colombia,"1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650"
Corea del Sur,340,340,340,340,340,340,340,340,340,340,340
Costa Rica,"1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600"
Dinamarca,0,0,0,0,0,0,0,0,0,0,0
El Salvador,"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
España,0,0,0,0,0,0,0,0,0,0,0
EUA,0,0,0,0,0,0,0,0,0,0,0
Finlandia,0,0,0,0,0,0,0,0,0,0,0
Francia,0,0,0,0,0,0,0,0,0,0,0
Grecia,140,140,140,140,140,140,140,140,140,140,140
Guatemala,"1,110","1,110","1,110","1,110","1,110","1,110","1,110","1,110","1,110","1,110","1,110"
Holanda,0,0,0,0,0,0,0,0,0,0,0
Hungría,240,240,240,240,240,240,240,240,240,240,240
India,"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200"
Irlanda,"4,200","4,200","4,200","4,200","4,200","4,200","4,200","4,200","4,200","4,200","4,200"
Israel,"9,600","9,600","9,600","9,600","9,600","9,600","9,600","9,600","9,600","9,600","9,600"
Italia,0,0,0,0,0,0,0,0,0,0,0
Japón,840,840,840,840,840,840,840,840,840,840,840
Malasia,"1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600"
México,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,"1,170","1,170","1,170","1,170","1,170","1,170","1,170","1,170","1,170","1,170","1,170"
Noruega,470,470,470,470,470,470,470,470,470,470,470
Panamá,"1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750"
Perú,"13,900","13,900","13,900","13,900","13,900","13,900","13,900","13,900","13,900","13,900","13,900"
Polonia,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0
Reino Unido,320,320,320,320,320,320,320,320,320,320,320
Rep. Checa,0,0,0,0,0,0,0,0,0,0,0
Rep. Dominicana,"1,090","1,090","1,090","1,090","1,090","1,090","1,090","1,090","1,090","1,090","1,090"
Rusia,"1,370","1,370","1,370","1,370","1,370","1,370","1,370","1,370","1,370","1,370","1,370"
Sudáfrica,"7,700","7,700","7,700","7,700","7,700","7,700","7,700","7,700","7,700","7,700","7,700"
Suecia,120,120,120,120,120,120,120,120,120,120,120
Suiza,0,0,0,0,0,0,0,0,0,0,0
Tailandia,180,180,180,180,180,180,180,180,180,180,180
Turquía,"1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250"
Venezuela,"1,850","1,850","1,850","1,850","1,850","1,850","1,850","1,850","1,850","1,850","1,850"
