Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,5,5,5,5,5,4,4,4,4,4,4
Argentina,3,3,3,3,3,3,3,3,3,3,3
Australia,4,4,4,4,4,4,4,4,4,4,4
Austria,4,4,4,4,4,4,4,4,4,4,4
Bélgica,5,5,5,5,5,5,5,5,5,5,5
Bolivia,,,,,,,,,,,
Brasil,2,2,2,2,2,2,2,3,3,3,3
Canadá,5,5,5,5,4,4,4,4,4,4,4
Chile,4,4,4,4,4,4,4,4,4,4,4
China,3,3,3,3,3,3,3,3,3,3,3
Colombia,2,2,2,2,3,3,3,3,3,3,3
Corea del Sur,3,3,3,3,3,3,3,3,3,3,3
Costa Rica,,,,,,,,,,,
Dinamarca,5,5,5,5,5,5,5,5,5,5,5
El Salvador,,,,,,,,,,,
España,4,4,4,4,4,4,4,4,4,4,4
EUA,5,5,4,4,4,4,4,4,4,4,4
Finlandia,5,5,5,5,5,5,5,5,5,5,5
Francia,5,5,5,5,5,5,5,5,5,5,5
Grecia,4,4,4,4,4,4,4,4,4,3,3
Guatemala,,,,,,,,,,,
Holanda,5,5,5,5,5,5,5,5,5,5,5
Hungría,3,3,3,3,3,3,3,3,3,3,3
India,2,2,2,2,2,2,2,2,2,2,2
Irlanda,4,4,4,4,4,4,4,4,4,4,4
Israel,4,4,4,4,4,4,4,4,4,4,4
Italia,3,3,3,3,3,3,3,3,3,3,3
Japón,4,4,4,4,4,4,4,4,4,4,4
Malasia,3,3,3,3,3,4,4,4,4,4,4
México,3,3,3,3,3,3,3,3,3,3,3
Nicaragua,,,,,,,,,,,
Noruega,5,5,5,5,5,5,5,5,5,5,5
Panamá,,,,,,,,,,,
Perú,3,3,3,3,3,3,3,3,3,3,3
Polonia,4,4,4,4,4,4,4,4,4,4,4
Portugal,3,3,3,3,3,3,3,3,3,3,3
Reino Unido,5,4,4,4,4,4,4,4,4,4,4
Rep. Checa,3,3,3,3,3,3,3,3,3,3,3
Rep. Dominicana,,,,,,,,,,,
Rusia,3,3,3,3,3,3,3,3,3,3,3
Sudáfrica,4,4,4,4,4,4,4,4,4,4,4
Suecia,5,5,5,5,5,5,5,5,5,5,5
Suiza,5,5,5,5,5,5,5,5,5,5,5
Tailandia,3,3,3,3,3,3,3,3,3,3,3
Turquía,2,2,2,2,2,3,3,3,3,3,3
Venezuela,3,3,3,3,3,3,3,3,3,3,3
