Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"10,267.86","6,698.11","6,179.78","7,037.04","7,250.00","8,155.58","9,726.03","10,541.73","8,472.22","7,814.57","8,344.92"
Argentina,869.00,,,,,,,,,,
Australia,"4,663.21","6,471.20","4,166.23",,"4,443.09",,"5,848.19",,,"6,172.48","7,512.90"
Austria,"1,352.68",904.72,867.08,844.44,944.03,941.03,"1,202.74","1,043.92",719.44,922.90,712.24
Bélgica,"1,260.80","1,186.79","1,180.90","1,639.05","1,284.75","1,318.15","1,599.03","1,643.51","1,502.83","1,643.48","1,896.70"
Bolivia,158.31,25.60,25.80,17.70,,,,180.04,268.22,261.35,
Brasil,"6,525.42","5,205.48","2,922.08","4,744.03","6,380.96","5,767.60","7,775.46","14,611.73","9,536.10","8,805.63","9,949.89"
Canadá,"5,138.06","4,154.14","3,714.29","4,384.62","4,620.46","6,084.66","7,261.89","11,246.49","6,999.13","8,155.34","9,494.95"
Chile,827.72,562.26,349.16,,,"1,198.05","1,393.18","1,753.95","1,387.43","1,919.81","2,406.06"
China,"30,835.87","25,039.98","26,782.49","26,559.18","25,601.48","27,768.42","26,439.99","33,169.09","35,469.77","34,349.93",
Colombia,"1,530.25",,,,,,,,"1,730.67",,
Corea del Sur,"6,371.93","9,223.88","5,169.31","5,395.61","5,674.92","6,650.67","6,840.63","6,253.44","5,101.38","5,537.08","6,923.09"
Costa Rica,233.06,249.11,266.97,169.10,,144.29,305.32,304.88,,,
Dinamarca,"1,324.04",969.22,850.83,955.26,"1,146.24","1,237.09","1,679.19","1,888.39","1,554.37","1,265.47","1,216.06"
El Salvador,163.11,76.80,23.31,124.57,95.00,137.93,337.29,198.56,"1,193.25",,154.52
España,"7,313.39","5,241.75","5,103.37","5,820.80","6,893.53","7,133.73","7,928.79","7,007.40","5,425.76","5,271.09","5,258.38"
EUA,"71,974.00","61,442.00","60,522.00","62,715.00","70,760.00","79,884.00","79,717.00","80,651.00","67,262.00","70,149.00",
Finlandia,811.61,730.19,,,,557.21,597.81,639.39,805.56,834.44,931.85
Francia,"6,405.36","5,471.70",,"6,783.95","7,888.06","8,801.76","8,410.96","9,559.30","8,193.06","8,621.19","9,702.36"
Grecia,"1,514.29","1,290.57","1,266.29","1,343.21",901.25,"1,010.04","1,772.60","2,007.32","1,870.83","1,417.22","1,325.45"
Guatemala,,,,,,,,,,,
Holanda,"2,633.04",,,,,,"2,235.89","2,892.83","2,339.17","2,481.72",
Hungría,750.46,686.25,486.02,450.83,466.51,412.57,488.75,943.50,951.29,676.22,
India,"3,511.55",,,,,,"13,111.10","13,983.38","13,613.03","13,274.70",
Irlanda,,,288.76,,,,627.32,755.27,613.96,586.75,582.75
Israel,442.76,"1,441.14",,,,,,,,969.24,
Italia,"7,208.04","8,935.85","8,861.80","8,745.68","10,000.00","8,578.70","9,812.33","9,793.56","8,641.67","8,145.70","8,297.64"
Japón,"24,618.02","19,257.46","20,422.01","23,198.60","18,930.40","17,542.44","20,611.32","23,549.16","25,322.46","16,935.91","14,429.91"
Malasia,"1,180.26","1,229.47","1,159.74","1,290.79","2,103.07",,"1,242.16","1,343.82","1,497.87","1,733.80",
México,"5,750.86","3,129.92","2,584.24","3,614.89","3,474.53","3,747.96","3,272.96","3,648.12","2,890.60","5,674.83","4,984.10"
Nicaragua,6.43,40.61,36.56,,,,,,,,
Noruega,,"2,588.85",,,,,,,,,
Panamá,,,,,,,,,,,
Perú,174.52,,,,387.29,437.93,,880.06,909.66,847.09,"1,068.88"
Polonia,,,,,"1,844.20","2,444.77",,"3,059.99","2,565.19","2,391.40","2,344.70"
Portugal,"1,228.61",946.52,645.48,837.74,915.88,"1,214.26","1,801.20","1,463.90","1,464.49","1,428.14","1,228.70"
Reino Unido,"15,827.34","13,432.84",,,,,,"10,697.18","7,995.33","5,687.79",
Rep. Checa,"1,224.32",810.69,"1,507.44",474.93,573.36,627.15,795.96,871.53,763.05,783.85,815.89
Rep. Dominicana,288.14,421.21,269.89,238.79,255.52,340.50,162.59,283.07,196.36,195.46,300.06
Rusia,732.40,"1,012.38",,,,,"12,134.10","9,421.69","4,659.52","6,324.63","8,835.93"
Sudáfrica,"1,393.73",712.05,871.16,,,,"1,971.37","1,963.08","1,728.35","1,818.06",
Suecia,"1,481.70",,"1,451.92","1,577.14","1,181.85","1,381.84","1,582.83","1,470.03","1,189.05",974.20,
Suiza,"1,642.68","1,653.21","1,580.00","1,661.29","1,630.29","5,173.02","2,301.25","2,103.81","2,106.80","2,067.29","2,659.08"
Tailandia,"1,295.30","1,513.04",400.88,508.23,656.91,769.13,963.87,,678.79,735.45,
Turquía,361.31,198.21,229.84,"1,015.24","1,385.51","1,750.90","1,901.89","2,888.83","4,117.83","2,502.20","3,343.68"
Venezuela,"1,067.98",749.11,232.81,503.98,"1,395.77","1,170.99","1,684.12","1,418.02","1,579.87","1,466.85","1,062.36"
