Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"56,126,000","59,128,000","64,800,000","71,322,000","79,271,000","85,652,000","96,232,925","105,523,065","105,000,000","104,560,000","108,700,000"
Argentina,"6,741,791","6,566,740","7,842,233","13,512,383","22,156,426","31,510,390","40,401,771","46,508,774","52,482,780","53,700,000","55,000,000"
Australia,"11,132,000","12,670,000","14,347,000","16,480,000","18,420,000","19,760,000","21,260,000","22,120,000","22,200,000","22,500,000","24,490,000"
Austria,"6,541,000","6,736,000","7,274,000","7,992,000","8,665,000","9,281,000","9,912,000","10,816,000","11,434,000","12,241,000","13,022,578"
Bélgica,"7,697,000","8,101,777","8,605,834","9,131,705","9,604,695","9,847,375","10,738,121","11,341,704","11,775,240","12,154,041","12,540,603"
Bolivia,"779,917","1,023,333","1,278,844","1,800,789","2,421,402","2,876,143","3,254,410","5,038,600","6,464,390","7,179,293","8,353,273"
Brasil,"28,745,769","34,880,964","46,373,266","65,605,000","86,210,336","99,918,621","120,980,103","150,641,403","173,959,368","202,944,033","242,231,503"
Canadá,"10,649,000","11,872,000","13,291,000","15,020,000","17,016,600","18,749,100","20,277,400","22,092,500","23,811,900","24,037,372","25,858,318"
Chile,"5,100,783","6,244,310","7,268,281","9,261,385","10,569,572","12,450,801","13,955,202","14,796,593","16,450,223","19,852,242","22,399,969"
China,"144,820,000","206,005,000","269,953,000","334,824,000","393,406,000","461,058,000","547,306,000","641,245,000","747,214,000","859,003,000","986,253,000"
Colombia,"3,265,261","4,596,594","6,186,206","10,400,578","21,849,993","29,762,715","33,941,118","41,364,753","42,159,613","44,477,653","46,200,421"
Corea del Sur,"29,045,596","32,342,493","33,591,758","36,586,052","38,342,323","40,197,115","44,369,165","45,606,984","47,944,222","50,767,241","52,506,793"
Costa Rica,"326,944","502,478","778,299","923,084","1,101,305","1,443,717","1,508,219","1,886,570","1,950,318","3,035,007","4,358,127"
Dinamarca,"3,960,165","4,477,752","4,767,100","5,166,912","5,449,206","5,828,157","6,308,000","6,556,988","6,833,683","6,981,000","7,047,000"
El Salvador,"857,782","888,818","1,149,790","1,832,579","2,411,753","3,851,611","6,137,381","6,950,703","7,566,245","7,700,336","7,837,000"
España,"29,655,729","33,530,997","37,219,839","38,622,582","42,694,115","45,695,061","48,422,470","49,623,339","51,083,880","51,601,028","53,066,828"
EUA,"128,500,000","141,800,000","160,637,000","184,819,000","203,700,000","229,600,000","249,300,000","261,300,000","274,300,000","278,900,000","331,600,000"
Finlandia,"4,175,587","4,516,772","4,747,126","4,988,000","5,270,000","5,670,000","6,080,000","6,830,000","7,700,000","8,390,000","8,940,000"
Francia,"36,997,400","38,585,300","41,702,000","44,544,000","48,088,000","51,662,000","55,358,100","57,972,000","59,600,000","63,200,000","66,300,000"
Grecia,"7,963,742","9,314,260","8,936,202","9,324,335","10,260,396","10,979,826","12,294,912","13,799,340","13,295,093","12,292,716","12,127,985"
Guatemala,"1,146,441","1,577,085","2,034,776","3,168,256","4,510,067","7,178,745","11,897,563","14,948,640","17,307,459","18,067,970","20,715,677"
Holanda,"12,200,000","12,100,000","13,200,000","14,800,000","15,834,000","17,296,000","19,285,000","20,627,000","20,149,000","19,179,000","19,835,000"
Hungría,"4,967,430","6,886,111","7,944,586","8,727,188","9,320,000","9,965,720","11,029,930","12,224,163","11,792,475","12,011,823","11,689,937"
