Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"56,389,365","61,889,678","72,693,124","82,099,657","90,788,848","99,647,314","106,101,747","107,941,584","103,396,735","112,399,008","120,425,652"
Argentina,"5,808,770","5,662,905","6,036,360","6,795,484","6,938,436","6,611,915","7,036,784","6,147,290","5,694,547","10,030,497","10,593,666"
Australia,"33,477,398","39,021,581","41,386,432","41,596,552","44,657,324","46,951,775","48,728,837","51,488,427","50,026,967","45,268,487","46,655,238"
Austria,"6,550,376","7,070,344","6,902,780","7,619,372","8,037,890","8,785,116","9,140,909","9,140,680","8,520,740","13,868,656","14,948,967"
Bélgica,"8,489,007","2,341,816","2,904,114","3,264,582","3,340,509","3,641,155","4,078,094","5,878,585","4,858,700","7,263,064","7,150,661"
Bolivia,"1,557,128","1,508,700","1,770,774","1,824,313","1,892,343","1,443,165","1,744,663","1,718,196","1,537,032","1,916,055","1,956,214"
Brasil,"34,285,574","35,889,538","32,372,040","35,263,795","37,661,733","40,945,038","45,286,990","58,763,225","67,945,578","77,254,946","83,793,008"
Canadá,"40,451,914","23,323,029","35,884,417","40,701,307","45,229,860","46,726,978","52,103,547","53,718,757","52,583,516","67,325,128","70,843,661"
Chile,"5,315,623","4,986,727","5,246,787","5,463,753","5,939,020","6,016,649","7,190,963","8,021,939","8,097,314","10,233,736","10,926,529"
China,"72,660,653","83,671,798","86,040,642","119,789,024","136,721,623","158,013,351","183,613,132","191,001,220","229,062,099","267,691,437","304,977,639"
Colombia,"9,604,390","9,424,850","9,142,585","8,829,094","9,984,424","10,616,356","11,630,594","12,338,706","12,115,330","15,110,895","15,811,469"
Corea del Sur,"33,710,340","34,831,814","33,372,577","34,511,494","33,888,328","34,842,655","36,655,313","36,077,655","34,168,590","42,762,660","43,792,009"
Costa Rica,"737,895","675,146","749,885","901,402","953,217","943,143","1,017,054","1,023,665","932,581","1,746,854","1,904,070"
Dinamarca,"6,382,092","6,322,432","5,886,037","6,428,701","6,484,865","6,541,520","6,598,669","6,656,318","6,773,131","6,832,304","6,891,994"
El Salvador,"1,692,334","1,804,307","2,182,463","2,391,159","2,540,564","2,579,145","2,536,820","2,279,763","1,996,982","2,150,109","2,202,206"
España,"41,469,789","40,380,629","42,506,835","45,539,952","49,855,007","53,122,464","60,664,991","55,213,716","49,289,158","58,563,493","60,620,077"
EUA,"622,187,846","598,410,415","588,997,110","678,110,608","720,547,738","725,530,965","744,302,310","701,779,551","679,423,408","707,426,165","716,567,453"
Finlandia,"6,697,556","6,415,606","6,183,906","7,049,416","7,075,195","7,597,125","8,288,683","7,916,485","7,423,265","11,578,004","12,229,408"
Francia,"50,476,541","49,305,864","47,258,820","48,543,473","52,477,178","59,537,872","61,551,258","61,214,656","58,318,312","65,401,450","67,117,714"
Grecia,"8,430,333","7,579,225","7,518,932","9,276,954","9,452,219","9,481,314","10,206,223","9,442,743","8,795,133","15,588,211","16,576,446"
Guatemala,"1,593,092","1,833,845","1,792,366","1,895,165","2,021,104","2,179,600","2,366,058","2,342,433","2,066,557","2,071,143","2,070,843"
Holanda,"20,072,980","22,931,166","23,454,932","25,595,676","26,132,696","27,454,451","28,857,440","29,601,230","29,108,547","27,553,866","28,440,656"
Hungría,"2,023,385","2,098,760","2,260,849","2,546,234","2,735,214","2,591,666","3,133,574","3,111,575","2,952,885","11,829,369","14,113,993"
India,"16,862,737","17,633,019","19,455,085","23,934,074","27,879,461","40,288,794","51,897,450","49,877,935","54,446,373","64,144,151","73,312,826"
Irlanda,"15,450,847","19,728,801","28,863,657","34,748,853","42,872,544","50,737,809","60,099,058","69,447,262","77,747,207","76,488,319","89,755,155"
Israel,"3,967,140","3,708,138","3,677,879","4,968,931","4,392,448","4,357,151","4,662,615","4,563,041","4,605,452","6,140,525","6,414,729"
Italia,"31,031,074","28,244,627","36,345,771","35,922,093","36,115,764","36,709,131","37,830,745","30,672,048","33,194,501","48,748,195","51,000,533"
Japón,"107,823,469","109,037,841","103,988,547","101,740,600","102,279,015","102,845,319","99,842,338","97,022,471","86,896,527","94,211,762","92,948,912"
Malasia,"16,107,156","16,281,275","16,704,600","19,226,564","20,369,086","17,833,364","21,325,754","22,420,870","23,766,316","26,255,371","27,570,084"
México,"20,172,824","19,618,662","20,661,206","21,167,881","21,857,658","21,243,010","20,952,513","18,825,976","18,664,070","18,503,556","18,344,423"
Nicaragua,"1,022,750","1,032,096","1,041,527","1,051,044","1,060,649","1,070,341","1,080,122","1,089,992","1,102,200","1,120,147","1,130,383"
Noruega,"14,556,181","13,699,204","12,805,757","12,277,222","11,866,172","11,468,884","11,084,898","10,713,768","10,355,064","10,008,369","9,673,282"
Panamá,"1,114,727","1,047,843","1,416,071","1,500,673","1,795,958","2,028,711","2,473,261","2,762,458","6,348,000","7,365,594","8,896,347"
Perú,"2,248,991","2,085,823","2,226,329","3,225,128","4,332,223","4,217,880","5,273,188","6,184,410","5,843,195","6,130,087","6,776,642"
Polonia,"2,670,283","2,845,919","3,252,222","3,493,094","3,553,680","3,625,982","4,269,655","4,634,676","4,279,072","5,465,634","5,871,498"
Portugal,"6,650,492","6,795,580","7,590,259","9,052,471","10,139,655","9,440,930","10,320,040","11,171,020","9,903,771","11,123,524","11,710,657"
Reino Unido,"70,331,725","72,381,196","76,388,660","86,054,762","93,602,879","97,544,631","101,622,807","104,713,553","102,464,509","123,971,683","131,201,748"
Rep. Checa,"2,565,808","2,808,793","3,391,474","4,219,478","4,706,226","4,921,600","4,869,586","4,974,879","5,048,360","7,102,861","7,864,194"
Rep. Dominicana,"6,468,863","6,771,244","7,087,760","7,419,071","8,128,877","8,315,098","8,505,585","8,700,435","8,899,750","9,312,181","9,525,510"
Rusia,"20,301,199","20,892,156","22,723,072","25,948,923","26,522,315","28,836,949","33,187,839","37,940,321","34,402,844","56,848,068","63,013,719"
Sudáfrica,"7,948,374","8,052,660","9,159,815","9,878,598","11,844,657","12,932,671","12,870,324","13,135,437","12,503,629","16,779,188","18,080,907"
Suecia,"15,123,000","15,440,000","14,717,000","15,212,000","16,295,000","18,895,044","20,332,666","20,989,182","19,462,170","20,780,208","21,451,175"
Suiza,"16,914,823","13,295,500","10,118,096","9,287,315","9,662,619","10,647,142","12,298,456","14,352,757","14,701,206","21,476,757","21,995,753"
Tailandia,"17,662,418","18,111,892","16,622,502","20,342,582","18,902,629","20,102,408","21,191,723","19,993,134","19,618,735","20,303,062","20,587,930"
Turquía,"10,603,908","10,686,877","10,745,444","14,275,835","16,943,828","19,361,415","22,895,275","25,505,092","31,339,441","51,590,291","60,433,560"
Venezuela,"9,452,434","6,369,455","3,889,929","4,943,887","5,043,028","5,225,573","5,495,292","5,766,973","5,121,009","5,881,013","5,608,452"
