Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"35,986","35,804","36,044","34,715","34,228","34,128","33,897","33,862","33,706","33,708","33,488"
Argentina,"45,355","42,737","40,269","37,944","35,753","35,753","35,753","35,753","25,023","25,023","23,578"
Australia,"9,508","9,514","9,474","9,381","9,528","9,639","9,639","9,661","9,674","8,615","8,530"
Austria,"5,600","5,647","5,655","5,359","5,781","5,818","5,818","5,755","5,784","5,066","5,015"
Bélgica,"3,454","3,518","3,521","3,536","3,542","3,560","3,374","3,513","3,578","3,578","3,591"
Bolivia,"1,628","1,765","1,914","2,075","2,249","2,438","2,644","2,866","2,866","3,652","3,959"
Brasil,"28,983","29,066","29,148","29,231","29,314","29,314","29,487","29,817","29,817","29,817","29,902"
Canadá,"29,826","32,655","29,221","30,726","57,671","57,481","57,042","57,216","58,345","58,345","62,394"
Chile,"6,623","6,328","6,330","5,992","7,928","5,898","5,898","5,898","5,352","5,352","5,239"
China,"59,079","59,530","60,446","61,015","62,200","63,412","63,637","60,809","65,491","66,239","67,001"
Colombia,"2,601","2,476","2,357","2,244","2,137","2,137","2,035","1,663","1,672","1,592","1,516"
Corea del Sur,"3,123","3,129","3,140","3,129","3,392","3,392","3,399","3,381","3,378","3,379","3,406"
Costa Rica,245,248,272,299,328,360,396,435,477,278,282
Dinamarca,"2,047","2,273","2,273","2,212","2,212","2,011","2,133","2,133","2,131","2,131","2,140"
El Salvador,120,122,134,147,161,177,195,214,235,283,311
España,"13,868","13,856","14,387","14,395","14,484","14,635","14,832","15,046","15,043","15,317","15,470"
EUA,"157,515","160,704","159,095","156,738","228,999","227,187","226,706","227,058","226,205","228,513","237,175"
Finlandia,"5,850","5,850","5,851","5,741","5,732","5,905","5,899","5,919","5,919","5,919","5,926"
Francia,"29,445","29,352","29,269","29,246","29,286","29,547","29,488","29,901","33,778","33,608","34,055"
Grecia,"2,377","2,383","2,414","2,449","2,576","2,509","2,551","2,552","1,552","2,552","2,570"
Guatemala,801,809,817,826,834,842,851,860,868,886,895
Holanda,"2,809","2,806","2,811","2,811","2,813","2,776","2,776","2,896","2,886","3,016","3,038"
Hungría,"7,516","7,729","7,730","7,730","7,950","7,932","7,960","7,942","7,793","7,893","7,932"
India,"63,028","63,140","63,122","63,200","63,465","63,332","63,327","63,327","63,273","63,974","64,069"
Irlanda,"1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919"
Israel,676,676,615,853,899,905,958,"1,005","1,005","1,034","1,079"
Italia,"16,035","15,985","15,965","15,916","16,751","16,833","16,668","16,862","16,959","18,011","18,222"
Japón,"20,158","20,096","20,067","20,060","20,096","20,050","20,050","20,048","20,036","20,035","20,023"
Malasia,"1,636","1,636","1,667","1,667","1,657","1,667","1,667","1,665","1,665","1,665","1,668"
México,"26,634","26,641","26,648","26,655","26,662","26,662","26,662","26,677","26,704","26,704","26,711"
Nicaragua,46,46,46,46,46,46,46,46,46,46,46
Noruega,"4,069","4,074","4,078","4,083","4,087","4,043","4,087","4,114","4,114","4,114","4,119"
Panamá,76,76,76,76,76,76,76,76,76,76,76
Perú,"2,288","2,260","2,232","2,204","2,177","2,177","2,150","2,020","2,020","2,020","1,995"
Polonia,"20,134","20,223","19,900","19,576","19,599","19,429","19,419","19,627","19,764","19,702","19,659"
Portugal,"2,814","2,881","2,818","2,849","2,839","2,839","2,838","2,842","2,842","2,843","2,846"
Reino Unido,"16,652","16,652","17,746","16,116","16,208","19,966","16,208","16,321","16,173","31,471","33,539"
Rep. Checa,"9,444","9,499","9,501","9,489","9,513","9,491","9,491","9,487","9,539","9,569","9,582"
Rep. Dominicana,115,117,120,122,125,128,130,133,136,142,145
Rusia,"85,835","85,542","85,500","85,286","85,542","92,217","84,158","84,158","85,194","85,292","85,238"
Sudáfrica,"22,657","22,657","20,041","20,247","20,047","20,047","24,487","24,487","22,051","22,051","21,991"
Suecia,"9,865","9,857","9,882","9,895","9,867","9,957","9,821","9,830","9,946","9,957","9,966"
Suiza,"2,959","2,982","2,990","3,140","3,252","3,330","3,619","3,499","3,544","3,543","3,607"
Tailandia,"4,044","4,044","4,044","4,044","4,081","4,118","4,156","4,429","4,429","4,429","4,469"
Turquía,"8,671","8,671","8,697","8,697","8,697","8,697","8,697","8,699","8,686","9,594","9,692"
Venezuela,336,336,336,336,336,336,336,806,806,806,806
