Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,10.0,9.7,5.0,4.9,4.3,4.6,5.0,5.0,4.4,3.9,3.9
Argentina,26.5,53.0,19.1,6.8,6.2,8.6,11.1,19.5,15.7,10.6,14.1
Australia,8.7,8.2,8.4,8.9,9.1,9.4,8.2,8.9,6.0,7.3,7.7
Austria,5.5,4.9,4.3,3.9,3.7,4.2,5.1,5.6,3.1,2.6,3.0
Bélgica,8.5,7.7,4.9,4.4,4.0,4.1,4.8,5.2,4.6,4.2,3.9
Bolivia,9.8,9.6,11.4,7.4,4.9,4.0,3.5,4.7,3.4,1.0,
Brasil,57.6,62.9,67.1,54.9,55.4,50.8,43.7,47.3,44.6,40.0,43.9
Canadá,5.8,4.2,4.7,4.0,4.4,5.8,6.1,4.7,2.4,2.6,3.0
Chile,11.9,7.8,6.2,5.1,6.7,8.0,8.7,13.3,7.2,4.8,9.0
China,5.9,5.3,5.3,5.6,5.6,6.1,7.5,5.3,5.3,5.8,6.6
Colombia,20.7,16.3,15.2,15.1,14.6,12.9,15.4,17.2,13.0,9.4,11.2
Corea del Sur,7.7,6.8,6.2,5.9,5.6,6.0,6.6,7.2,5.7,5.5,5.8
Costa Rica,11.8,11.5,10.4,9.5,10.1,9.8,6.4,4.2,7.0,5.3,
Dinamarca,8.2,7.1,6.2,5.6,5.2,5.4,6.3,6.9,5.3,4.3,4.5
El Salvador,,,,,,,,,,,
España,5.2,4.3,7.5,6.6,5.8,5.8,6.6,7.4,7.0,7.2,8.1
EUA,6.9,4.7,4.1,4.3,6.2,8.0,8.1,5.1,3.3,3.3,3.3
Finlandia,5.4,4.5,3.9,3.6,3.4,4.1,5.0,5.3,2.6,2.3,2.7
Francia,5.0,3.9,4.3,4.0,3.6,3.7,4.3,4.8,4.2,3.4,3.4
Grecia,7.5,6.5,5.9,5.8,5.8,6.3,7.0,7.4,6.1,6.0,7.1
Guatemala,8.8,6.9,4.8,4.2,4.3,4.5,4.8,5.1,5.6,5.5,
Holanda,5.0,4.6,4.3,4.3,4.2,4.7,5.5,5.8,3.4,3.0,3.2
Hungría,12.1,10.2,9.6,12.8,8.5,8.1,9.1,10.2,11.1,7.6,8.3
India,12.1,11.9,11.5,10.9,10.8,11.2,13.1,13.3,12.2,10.2,10.2
Irlanda,4.8,3.8,5.5,4.9,4.7,5.3,6.4,6.7,3.6,3.2,3.8
Israel,10.0,9.9,10.7,7.4,6.4,7.4,6.3,6.1,3.7,4.5,5.5
Italia,7.3,6.5,5.8,5.5,5.3,5.6,6.3,6.8,4.8,4.0,4.6
Japón,1.4,1.4,1.4,1.4,1.4,1.5,1.8,1.8,1.5,1.5,1.5
Malasia,6.6,6.5,6.1,6.0,6.1,6.6,6.3,5.9,4.8,4.9,4.8
México,12.8,8.2,7.0,7.4,9.7,7.5,7.6,8.7,7.1,5.3,4.9
Nicaragua,11.6,7.8,5.6,4.7,4.0,4.9,6.1,6.6,6.0,3.0,
Noruega,8.9,8.5,6.1,4.2,4.0,4.2,5.9,7.4,4.5,4.2,4.4
Panamá,6.8,5.0,4.0,2.2,2.7,3.8,4.8,3.5,3.5,3.0,
Perú,25.0,20.8,21.0,24.7,25.5,23.9,22.9,23.7,21.0,19.0,18.7
Polonia,18.4,12.1,7.3,7.6,8.3,7.3,8.1,9.1,8.5,8.4,8.5
Portugal,5.9,5.4,4.8,4.6,4.6,5.2,6.1,6.8,4.7,4.2,5.7
Reino Unido,6.8,5.7,5.5,6.1,6.5,6.5,7.4,6.9,4.0,4.0,4.1
Rep. Checa,7.2,6.7,5.9,6.0,5.8,5.6,5.8,6.3,6.0,5.9,5.7
Rep. Dominicana,15.6,16.5,20.5,21.1,13.9,9.8,7.0,10.3,7.8,4.9,
Rusia,17.9,15.7,13.0,11.4,10.7,10.4,10.0,12.2,15.3,10.8,8.5
Sudáfrica,13.8,15.8,15.0,11.3,10.6,11.2,13.2,15.1,11.7,9.8,9.0
Suecia,5.6,5.6,4.8,4.0,3.3,4.4,5.2,4.4,2.4,3.4,4.3
Suiza,4.3,3.9,3.3,3.2,3.1,3.0,3.2,3.3,2.8,2.7,2.7
Tailandia,7.2,6.9,5.9,5.5,5.8,7.4,7.0,7.0,6.0,5.9,6.9
Turquía,95.0,72.0,48.0,35.0,26.0,28.0,27.0,26.5,21.0,19.0,17.0
Venezuela,22.5,36.6,25.2,18.5,16.8,15.5,17.1,22.4,19.9,18.3,17.1
