Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,3.6,2.7,2.2,1.9,1.9,2.6,3.8,4.1,1.4,1.1,1.4
Argentina,16.2,39.3,10.2,2.6,3.8,6.4,8.0,11.0,11.6,9.2,10.7
Australia,3.9,3.7,3.5,3.9,3.9,4.1,4.5,4.7,3.1,4.2,4.3
Austria,3.0,2.6,2.1,1.9,2.0,2.7,3.8,4.3,1.9,1.1,1.5
Bélgica,3.4,2.6,2.3,2.0,2.0,2.7,3.8,3.9,0.6,0.4,0.9
Bolivia,20.1,20.6,17.7,14.5,16.6,11.9,12.9,13.9,12.4,9.9,10.9
Brasil,17.9,19.1,22.0,15.4,17.6,13.9,10.6,11.7,9.3,8.9,11.0
Canadá,2.3,0.8,1.1,0.8,0.8,1.8,2.1,1.5,0.1,0.2,0.5
Chile,6.2,3.8,2.7,1.9,3.9,5.1,5.6,7.5,2.0,1.7,5.3
China,2.3,2.0,2.0,2.3,2.3,2.5,4.1,2.3,2.3,2.8,3.5
Colombia,12.4,8.9,7.8,7.8,7.0,6.3,8.0,9.7,6.2,3.7,4.3
Corea del Sur,5.8,5.0,4.3,3.9,3.7,4.5,5.2,5.9,3.5,3.9,4.2
Costa Rica,23.8,26.4,25.6,23.4,24.7,22.2,12.8,15.8,19.7,17.1,16.1
Dinamarca,3.3,2.4,1.7,1.5,1.5,2.2,3.1,3.8,2.1,1.0,1.1
El Salvador,,,,,,,,,,,
España,3.1,2.5,2.1,2.0,2.1,2.8,3.9,4.6,2.5,2.4,2.6
EUA,3.7,1.7,1.2,1.6,3.5,5.2,5.3,3.0,0.6,0.3,0.3
Finlandia,3.5,2.7,2.2,1.9,2.0,2.8,3.9,4.5,1.7,1.1,1.6
Francia,4.9,4.7,2.8,2.5,2.5,2.8,3.7,4.3,3.5,2.8,2.8
Grecia,3.3,2.7,2.4,2.2,2.1,2.9,4.0,4.8,2.6,3.0,3.9
Guatemala,19.0,16.9,15.0,13.8,13.0,12.8,12.8,13.4,13.8,13.3,13.4
Holanda,3.1,2.8,2.6,2.3,2.2,2.9,3.9,4.4,2.8,1.0,1.4
Hungría,9.0,7.3,7.1,10.5,6.4,6.1,7.2,8.1,8.1,4.9,5.5
India,8.5,6.9,5.4,5.4,5.9,7.3,8.5,9.0,7.0,7.7,9.3
Irlanda,0.1,0.1,2.3,2.0,2.1,2.8,4.0,4.5,2.4,2.1,2.7
Israel,6.2,6.0,6.7,3.6,3.2,4.3,3.5,3.3,1.1,1.6,2.5
Italia,3.2,2.6,2.0,1.5,1.5,1.6,2.2,2.8,2.0,1.3,2.0
Japón,0.1,0.0,0.0,0.1,0.1,0.4,0.6,0.6,0.4,0.3,0.3
Malasia,3.2,3.2,3.0,3.0,3.0,3.2,3.2,3.0,2.0,2.7,3.0
México,6.2,3.8,3.1,2.7,3.5,3.3,3.2,3.0,2.0,1.2,1.0
Nicaragua,18.6,18.3,15.5,13.5,12.1,11.6,13.0,13.2,14.0,13.3,10.5
Noruega,6.4,6.5,2.1,1.5,1.8,2.5,4.9,5.5,2.3,2.3,2.5
Panamá,11.0,10.6,9.9,8.8,8.7,8.4,8.3,8.2,8.2,7.7,6.9
Perú,7.6,3.6,3.1,2.4,2.6,3.2,3.2,3.5,2.8,1.5,2.3
Polonia,11.8,6.2,3.7,3.8,4.1,3.1,3.4,4.7,5.1,4.1,4.2
Portugal,3.8,3.0,2.4,2.2,2.2,2.9,4.1,4.6,2.1,1.9,3.8
Reino Unido,5.1,3.9,3.5,3.8,4.2,4.2,4.9,4.9,2.8,2.6,2.7
Rep. Checa,2.9,2.0,1.3,1.3,1.2,1.2,1.3,1.6,1.3,1.1,1.0
Rep. Dominicana,24.3,26.1,31.4,32.6,24.1,19.5,15.8,19.9,18.1,12.1,15.6
Rusia,4.9,5.0,4.5,3.8,4.0,4.1,5.1,5.8,8.6,6.0,4.4
Sudáfrica,9.4,10.8,9.8,6.6,6.0,7.1,9.2,11.6,8.5,6.5,5.7
Suecia,2.1,2.3,1.5,1.0,0.8,1.9,2.8,1.7,0.3,1.0,1.6
Suiza,2.5,0.9,0.2,0.1,0.3,1.0,1.9,1.8,0.1,0.1,0.1
Tailandia,2.5,2.0,1.3,1.0,1.9,4.4,2.9,2.5,1.0,1.0,2.3
Turquía,74.7,50.5,37.7,24.3,20.4,21.6,22.6,22.9,17.6,15.3,14.2
Venezuela,15.5,29.0,17.2,12.6,11.6,10.3,10.7,16.2,16.4,14.8,14.6
