Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,0.45,0.45,0.45,0.45,0.47,0.47,0.47,0.47,0.47,0.47,0.47
Argentina,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.11
Australia,0.27,0.27,0.36,0.36,0.36,0.64,0.64,0.64,0.64,0.64,0.64
Austria,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Bélgica,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Bolivia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brasil,0.48,0.48,0.48,0.48,0.55,0.57,0.57,0.59,0.61,0.75,0.84
Canadá,0.33,0.33,0.33,0.33,0.44,0.44,0.44,0.44,0.44,0.50,0.50
Chile,0.10,0.10,0.10,0.10,0.14,0.14,0.14,0.14,0.14,0.14,0.14
China,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04
Colombia,0.08,0.08,0.08,0.08,0.08,0.12,0.12,0.15,0.15,0.23,0.27
Corea del Sur,0.57,0.57,0.57,0.86,0.86,1.00,1.00,1.00,1.00,1.00,1.00
Costa Rica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dinamarca,0.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
El Salvador,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
España,0.13,0.13,0.13,0.13,0.13,0.17,0.17,0.17,0.23,0.23,0.23
EUA,0.10,0.10,0.10,0.11,0.12,0.12,0.13,0.14,0.15,0.15,0.15
Finlandia,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Francia,0.29,0.35,0.35,0.35,0.35,0.45,0.48,0.58,0.61,0.65,0.65
Grecia,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
Guatemala,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33
Holanda,0.24,0.29,0.41,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
Hungría,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20
India,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.07
Irlanda,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Israel,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Italia,0.16,0.16,0.19,0.19,0.19,0.26,0.26,0.29,0.29,0.29,0.29
Japón,0.94,0.94,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Malasia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
México,0.04,0.04,0.06,0.06,0.09,0.09,0.09,0.09,0.10,0.12,0.12
Nicaragua,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Noruega,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Panamá,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50
Perú,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05
Polonia,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Portugal,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.60
Reino Unido,0.14,0.17,0.19,0.22,0.22,0.31,0.31,0.31,0.36,0.39,0.39
Rep. Checa,0.20,0.20,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40
Rep. Dominicana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.17
Rusia,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Sudáfrica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12
Suecia,0.60,0.60,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
Suiza,0.17,0.17,0.17,0.17,0.17,0.17,0.33,0.33,0.33,0.33,0.33
Tailandia,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.09
Turquía,0.07,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.13,0.13,0.13
Venezuela,0.06,0.06,0.06,0.06,0.06,0.11,0.17,0.17,0.22,0.22,0.22
