Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,32,49,56,65,69,72,75,78,79,83,83
Argentina,10,11,12,16,18,21,26,28,34,40,48
Australia,53,0,0,0,63,66,70,72,74,76,79
Austria,39,37,43,54,58,64,69,73,73,75,80
Bélgica,31,46,50,54,55,59,64,65,69,74,76
Bolivia,2,3,4,4,5,6,10,13,17,22,30
Brasil,5,9,13,19,21,28,31,34,39,41,45
Canadá,60,61,64,66,72,73,73,77,80,80,83
Chile,19,22,25,28,31,34,36,37,39,45,54
China,3,5,6,7,9,11,16,23,29,34,38
Colombia,3,5,7,9,11,15,22,26,30,37,40
Corea del Sur,55,58,64,71,72,76,77,79,80,82,81
Costa Rica,10,20,20,21,22,25,28,32,34,37,42
Dinamarca,43,64,76,81,83,87,85,85,87,89,90
El Salvador,2,2,3,3,4,6,6,10,12,16,18
España,18,20,40,44,48,50,55,59,62,66,68
EUA,49,59,62,65,68,69,75,74,71,74,78
Finlandia,43,62,69,72,74,80,81,84,83,87,89
Francia,25,29,35,38,41,45,64,68,69,77,77
Grecia,11,15,18,22,24,32,36,38,43,45,53
Guatemala,2,3,5,5,6,7,7,8,9,11,12
Holanda,49,61,64,68,81,84,86,88,90,91,92
Hungría,15,17,22,28,39,47,53,56,48,53,59
India,1,2,2,2,2,3,4,4,5,8,10
Irlanda,23,26,34,37,42,54,60,64,67,70,77
Israel,17,17,19,22,24,27,46,58,61,66,68
Italia,27,28,29,33,35,38,41,45,49,54,57
Japón,38,46,48,62,66,68,74,75,77,78,79
Malasia,27,32,35,42,49,52,56,56,56,56,61
México,7,12,13,14,17,20,21,22,26,31,36
Nicaragua,1,2,2,2,3,3,4,5,7,10,11
Noruega,64,73,78,78,82,83,87,91,92,93,93
Panamá,7,9,10,11,11,17,22,34,39,40,43
Perú,8,9,12,14,17,21,25,31,31,35,37
Polonia,10,21,25,33,39,45,49,53,59,62,65
Portugal,18,19,30,32,35,38,40,42,47,51,56
Reino Unido,33,56,65,66,70,69,75,78,78,78,82
Rep. Checa,15,24,34,35,35,48,52,63,64,69,73
Rep. Dominicana,4,7,8,9,11,15,18,21,28,31,36
Rusia,3,4,8,13,15,18,25,27,29,43,49
Sudáfrica,6,7,7,9,8,8,8,9,10,18,21
Suecia,52,70,79,84,85,88,82,90,91,90,91
Suiza,55,61,65,68,70,76,77,78,80,82,83
Tailandia,6,8,9,11,15,17,20,18,20,22,24
Turquía,5,11,12,15,15,18,29,34,36,40,42
Venezuela,5,5,8,8,13,15,21,26,33,38,40
