Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,144.7,143.1,141.7,138.7,137.2,131.7,124.7,126.6,133.1,130.9,124.8
Argentina,37.2,62.4,50.6,45.4,38.3,30.8,28.5,24.4,28.0,29.2,31.3
Australia,94.8,101.3,105.1,109.8,114.3,119.7,136.9,144.5,144.1,146.6,145.1
Austria,124.1,122.2,121.6,122.3,130.3,129.6,126.9,130.9,140.2,137.4,135.3
Bélgica,118.8,112.0,107.9,102.2,103.4,108.6,111.7,113.1,118.8,116.5,116.9
Bolivia,60.5,61.1,58.1,53.0,71.3,57.5,53.5,48.4,49.5,49.4,48.6
Brasil,72.5,74.5,74.0,72.6,74.5,86.6,92.2,96.9,95.8,95.2,98.3
Canadá,203.7,198.4,192.0,194.4,202.7,219.6,154.2,177.6,174.6,171.7,168.8
Chile,82.1,84.7,83.5,82.6,79.5,78.9,85.4,85.9,69.6,66.0,71.2
China,123.0,143.5,151.9,140.4,134.3,133.5,127.8,120.8,145.1,146.3,145.5
Colombia,38.5,37.5,40.7,45.2,49.5,51.7,52.6,55.5,62.0,66.1,65.6
Corea del Sur,79.3,86.0,88.7,84.6,88.3,96.4,98.4,109.4,109.4,103.1,102.3
Costa Rica,34.4,37.8,40.4,43.2,44.0,44.0,48.0,54.2,54.6,50.7,53.3
Dinamarca,152.5,155.5,161.4,164.8,178.2,190.0,205.2,209.6,222.3,214.5,205.4
El Salvador,44.4,41.8,44.9,45.1,46.3,45.9,47.0,46.7,45.6,44.7,44.6
España,119.7,123.3,131.6,140.0,159.2,177.2,197.7,214.5,229.1,234.4,230.9
EUA,206.1,198.8,214.4,221.5,225.4,235.5,244.4,224.4,234.4,233.3,234.9
Finlandia,61.8,62.9,66.9,69.5,77.5,82.4,85.1,87.9,98.1,101.3,101.6
Francia,105.7,103.5,105.4,106.1,109.0,115.1,122.0,124.3,128.8,132.7,133.5
Grecia,99.6,99.6,93.8,95.4,106.6,109.1,113.6,115.7,115.9,148.9,153.2
Guatemala,27.0,26.5,31.7,31.3,34.2,38.7,38.3,36.7,39.2,38.4,39.2
Holanda,147.4,153.1,160.2,169.7,176.6,177.7,197.6,196.0,223.2,212.0,211.1
Hungría,49.6,53.1,57.5,58.1,62.3,68.4,75.7,80.9,81.4,81.7,75.7
India,53.0,57.1,55.8,57.6,58.4,60.9,60.8,67.7,70.4,73.0,75.1
Irlanda,108.2,108.7,114.4,133.1,159.0,179.1,195.0,207.4,223.8,233.2,225.7
Israel,83.9,85.9,80.7,76.9,78.2,74.0,87.3,90.3,85.9,86.2,86.4
Italia,96.7,96.3,102.0,102.9,107.4,111.6,128.2,132.0,141.6,155.4,157.0
Japón,294.8,302.4,311.9,308.1,317.6,309.6,299.6,302.4,329.8,329.0,340.9
Malasia,146.5,143.6,139.8,127.5,117.7,114.6,109.4,110.8,131.1,127.4,128.7
México,33.1,36.5,33.2,31.8,32.1,34.9,37.2,37.2,43.8,45.1,45.5
Nicaragua,72.2,72.3,71.6,65.0,61.6,58.1,56.5,53.1,51.4,49.4,46.1
Noruega,73.1,80.8,81.1,80.3,83.2,87.0,89.5,92.1,94.8,97.6,100.5
Panamá,99.0,91.1,88.8,90.3,90.3,90.6,87.8,86.1,83.8,87.7,104.9
Perú,24.4,22.7,19.6,16.3,16.9,14.6,16.0,18.8,18.9,18.1,18.7
Polonia,37.0,37.2,38.4,37.6,37.4,42.0,46.3,59.9,61.4,63.5,66.2
Portugal,137.0,137.8,138.1,139.2,144.0,155.2,165.6,177.7,195.1,209.1,204.1
Reino Unido,136.0,141.7,145.3,153.6,160.8,171.0,186.7,212.4,227.9,222.2,212.6
Rep. Checa,43.9,40.6,46.6,43.0,41.7,46.7,51.3,55.6,60.2,62.5,67.4
Rep. Dominicana,33.8,35.2,38.8,29.4,30.8,37.2,38.8,38.8,40.3,39.4,38.7
Rusia,25.7,26.9,27.9,25.7,22.1,22.5,24.4,23.9,33.7,38.4,39.5
Sudáfrica,184.3,159.8,163.1,169.6,178.5,192.9,195.3,173.8,184.2,182.4,166.9
Suecia,106.3,106.3,106.2,108.2,117.5,122.2,130.4,134.6,144.1,142.0,142.3
Suiza,163.2,162.7,167.1,168.3,171.4,175.3,178.2,174.5,186.5,183.2,185.1
Tailandia,128.6,127.8,130.7,124.5,119.2,109.0,131.6,130.5,137.0,142.8,159.0
Turquía,52.9,47.5,42.8,41.4,45.6,45.8,49.3,52.5,63.0,69.6,69.3
Venezuela,15.8,15.3,10.6,10.5,12.6,18.4,19.9,20.2,25.9,22.5,29.3
