Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"40,536,871","40,542,919","40,370,383","40,861,808","41,391,064","41,730,388","42,037,398","42,090,308","42,179,953","42,170,276","42,337,194"
Argentina,"15,686,428","15,959,900","16,234,783","17,467,296","17,728,870","17,961,984","18,106,949","18,219,196","18,357,012","18,369,196","18,661,509"
Australia,"9,782,848","9,942,247","10,121,976","10,248,989","10,557,576","10,806,610","11,112,324","11,394,783","11,635,867","11,832,996","12,060,288"
Austria,"3,895,402","3,963,651","4,012,348","3,999,179","4,078,742","4,159,763","4,245,062","4,291,083","4,332,722","4,335,561","4,382,224"
Bélgica,"4,335,904","4,426,585","4,455,610","4,545,582","4,650,197","4,673,253","4,752,704","4,790,895","4,802,612","4,891,345","4,950,660"
Bolivia,"3,623,179","3,716,161","3,816,530","3,913,957","4,013,878","4,122,217","4,239,194","4,352,545","4,467,269","4,582,822","4,691,776"
Brasil,"84,941,647","87,753,933","89,379,564","92,014,900","94,507,063","95,610,276","96,514,745","98,227,293","99,958,637","101,586,446","103,420,653"
Canadá,"16,506,146","16,970,742","17,383,328","17,620,842","17,751,767","17,932,527","18,325,168","18,654,969","18,793,900","18,996,280","19,265,082"
Chile,"6,120,286","6,192,699","6,371,195","6,576,801","6,761,042","6,972,249","7,160,450","7,451,903","7,560,948","8,037,178","8,259,177"
China,"732,251,387","741,524,811","749,937,754","758,907,350","767,143,183","775,312,478","782,454,972","786,794,551","793,880,407","799,541,706","806,601,851"
Colombia,"18,059,960","18,883,638","19,700,277","19,546,314","19,848,321","19,662,369","19,826,779","20,394,299","21,581,575","22,136,190","22,591,314"
Corea del Sur,"22,971,559","23,388,559","23,377,727","23,810,217","23,949,870","24,173,905","24,447,718","24,550,819","24,547,228","24,898,258","25,099,601"
Costa Rica,"1,721,485","1,765,640","1,808,907","1,826,969","1,938,930","1,986,387","2,065,409","2,098,078","2,136,018","2,193,769","2,247,603"
Dinamarca,"2,877,328","2,878,560","2,871,339","2,904,896","2,901,217","2,931,775","2,936,496","2,964,441","2,968,828","2,938,344","2,944,517"
El Salvador,"2,217,605","2,220,494","2,300,563","2,276,363","2,326,966","2,384,408","2,444,882","2,504,045","2,540,515","2,594,719","2,635,791"
España,"18,150,923","18,825,647","19,581,388","20,303,701","21,003,265","21,713,816","22,260,569","22,881,596","23,106,628","23,232,546","23,813,137"
EUA,"148,195,590","149,239,409","149,960,030","151,222,279","152,918,787","155,131,797","156,352,011","158,012,165","157,816,054","157,492,706","158,453,910"
Finlandia,"2,633,301","2,635,996","2,625,515","2,620,799","2,639,476","2,681,761","2,708,360","2,736,042","2,692,125","2,694,739","2,700,961"
Francia,"27,427,833","27,762,308","28,394,383","28,627,958","28,913,852","29,075,680","29,366,332","29,585,099","29,904,291","29,962,185","30,228,158"
Grecia,"4,814,365","4,889,514","4,962,609","5,053,567","5,077,479","5,137,454","5,156,496","5,183,133","5,238,438","5,268,509","5,316,216"
Guatemala,"4,078,367","4,191,588","4,310,014","4,441,232","4,709,263","4,984,408","5,136,048","5,302,414","5,492,468","5,682,480","5,874,124"
Holanda,"8,309,106","8,454,111","8,495,673","8,542,923","8,584,097","8,663,016","8,804,314","8,937,259","9,029,032","8,860,997","8,918,163"
Hungría,"4,157,566","4,158,876","4,228,019","4,222,815","4,268,806","4,307,375","4,293,969","4,269,735","4,269,884","4,315,634","4,331,767"
India,"420,275,632","432,005,673","443,905,307","455,945,007","467,332,665","468,583,141","470,274,577","470,827,221","471,872,607","472,615,193","478,194,994"
Irlanda,"1,798,890","1,849,327","1,895,256","1,950,495","2,051,491","2,127,513","2,190,221","2,199,432","2,151,326","2,126,185","2,162,025"
Israel,"2,512,085","2,554,902","2,621,554","2,694,322","2,760,018","2,839,212","2,932,338","3,007,030","3,101,261","3,178,244","3,253,887"
Italia,"23,401,633","23,736,357","24,132,745","24,681,667","24,670,777","24,816,647","24,900,711","25,299,792","25,141,682","25,105,074","25,282,094"
Japón,"67,572,810","67,108,187","66,938,830","66,632,277","66,625,755","66,592,087","66,895,565","66,707,220","66,472,480","66,696,963","66,610,005"
Malasia,"10,126,003","10,342,087","10,549,025","10,751,330","10,952,430","11,152,497","11,350,820","11,548,873","11,748,309","11,969,964","12,171,899"
México,"40,685,263","41,521,623","41,916,350","43,602,106","44,325,074","45,828,443","46,778,741","47,906,134","47,938,339","49,616,582","50,611,104"
Nicaragua,"1,852,496","1,906,890","1,964,571","2,020,128","2,077,432","2,136,617","2,193,952","2,252,807","2,313,086","2,374,650","2,434,354"
Noruega,"2,382,902","2,400,571","2,395,106","2,409,013","2,426,058","2,454,612","2,520,302","2,600,679","2,604,581","2,614,782","2,639,177"
Panamá,"1,313,549","1,344,117","1,381,401","1,421,260","1,459,218","1,469,721","1,514,583","1,581,716","1,616,322","1,648,976","1,686,907"
Perú,"12,729,716","12,605,412","12,444,334","12,633,592","12,800,412","13,286,717","14,400,075","14,795,050","15,220,208","15,475,964","15,781,257"
Polonia,"17,379,341","17,222,721","17,239,000","17,310,691","17,439,829","17,332,743","17,343,750","17,611,623","17,907,014","18,188,775","18,271,763"
Portugal,"5,317,498","5,399,658","5,443,783","5,463,168","5,528,760","5,579,579","5,616,273","5,630,295","5,579,478","5,598,278","5,627,158"
Reino Unido,"29,508,449","29,795,215","30,099,632","30,335,762","30,591,310","31,092,712","31,195,731","31,598,050","31,693,358","31,831,749","32,073,910"
Rep. Checa,"5,150,637","5,140,075","5,136,590","5,134,742","5,171,779","5,197,195","5,219,470","5,242,194","5,299,941","5,291,486","5,305,781"
Rep. Dominicana,"3,632,731","3,727,867","3,818,111","3,915,580","4,014,608","4,108,980","4,204,553","4,280,923","4,363,001","4,430,038","4,518,818"
Rusia,"72,390,664","73,060,106","72,207,412","72,810,896","73,431,168","74,171,828","75,265,948","75,887,405","75,757,632","75,601,032","75,929,798"
Sudáfrica,"15,737,149","16,145,194","16,541,338","16,863,510","17,212,110","17,594,025","18,008,862","18,699,288","18,433,205","18,163,019","18,425,286"
Suecia,"4,589,069","4,615,028","4,636,633","4,645,102","4,751,107","4,806,518","4,878,706","4,928,885","4,932,800","4,986,010","5,027,545"
Suiza,"4,050,646","4,092,515","4,141,658","4,146,195","4,172,883","4,236,072","4,304,361","4,408,645","4,473,947","4,497,439","4,544,743"
Tailandia,"35,654,192","36,177,851","36,618,775","37,342,242","37,902,027","37,977,106","38,821,122","39,120,013","38,638,034","39,383,539","39,777,286"
Turquía,"22,341,503","22,674,804","22,526,540","22,592,592","23,086,232","23,386,528","23,835,155","24,594,573","25,574,890","26,517,893","26,976,256"
Venezuela,"11,179,957","11,724,880","11,866,962","12,000,431","12,122,524","12,273,194","12,433,626","12,743,288","13,072,388","13,404,563","13,650,039"
