Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,10.84,10.70,10.60,10.30,10.20,9.70,9.70,9.58,9.45,9.33,9.40
Argentina,23.81,23.60,15.80,15.30,15.30,17.50,19.10,18.93,18.76,18.60,21.60
Australia,17.79,18.50,18.10,18.60,20.30,19.60,18.90,19.66,20.44,21.26,27.40
Austria,31.42,31.50,31.90,32.00,31.20,30.20,29.80,29.87,29.95,30.03,32.30
Bélgica,18.59,18.60,19.50,19.90,19.40,19.70,19.50,19.51,19.52,19.53,18.70
Bolivia,23.02,24.30,37.00,40.00,41.20,45.60,46.00,48.56,51.27,54.13,41.80
Brasil,24.57,23.80,23.00,20.80,19.60,17.80,16.10,15.59,15.10,14.63,17.30
Canadá,89.24,87.70,86.60,85.20,84.20,81.60,78.90,77.54,76.20,74.89,73.70
Chile,18.76,19.10,16.20,14.00,15.80,15.60,14.80,15.06,15.33,15.61,22.80
China,22.00,21.50,21.10,21.10,21.40,21.00,19.10,18.67,18.25,17.83,17.10
Colombia,45.09,44.80,47.10,42.10,41.80,35.70,35.40,35.17,34.95,34.72,42.00
Corea del Sur,20.04,20.40,18.20,19.70,21.80,21.30,22.10,22.50,22.91,23.32,24.40
Costa Rica,31.61,31.50,14.20,46.90,42.60,27.40,25.70,25.61,25.52,25.43,30.40
Dinamarca,17.12,17.10,18.70,18.00,17.50,17.40,17.40,17.38,17.36,17.34,16.90
El Salvador,65.48,63.30,67.80,65.60,61.00,49.60,51.00,49.30,47.66,46.07,45.10
España,19.12,19.00,19.20,19.30,19.40,18.90,18.80,18.68,18.56,18.44,17.80
EUA,23.67,23.20,23.40,23.00,23.40,22.20,21.40,20.98,20.56,20.16,19.00
Finlandia,11.80,11.80,11.80,11.10,11.20,11.30,10.90,10.90,10.90,10.90,11.80
Francia,14.84,15.00,14.90,15.00,14.70,15.60,14.90,15.06,15.22,15.39,16.70
Grecia,10.49,10.40,12.60,13.20,12.40,11.50,11.60,11.50,11.39,11.29,9.50
Guatemala,61.33,58.70,56.70,53.00,50.10,44.60,42.20,40.39,38.66,37.01,37.90
Holanda,24.99,25.10,25.30,25.00,24.90,25.50,24.40,24.50,24.61,24.72,26.20
Hungría,35.40,34.30,34.10,31.40,29.40,29.50,28.10,27.23,26.38,25.56,25.00
India,23.82,22.50,20.60,17.00,16.70,17.00,15.00,14.17,13.38,12.64,12.70
Irlanda,23.40,23.30,20.50,19.70,18.70,18.60,18.70,18.62,18.54,18.46,22.30
Israel,40.43,39.20,38.40,36.80,36.50,38.40,35.00,33.94,32.91,31.91,28.80
Italia,13.74,13.70,13.80,13.60,13.10,13.20,12.90,12.86,12.82,12.79,13.30
Japón,29.91,28.80,24.80,22.70,22.90,22.80,20.40,19.64,18.91,18.20,19.70
Malasia,22.01,21.00,19.60,18.80,19.70,18.80,15.60,14.88,14.19,13.54,13.10
México,83.12,82.70,87.60,87.60,85.70,84.70,82.20,81.78,81.37,80.96,78.60
Nicaragua,59.33,59.40,35.90,64.80,60.70,65.20,31.70,31.74,31.77,31.81,60.10
Noruega,17.38,18.10,21.30,22.40,25.50,26.80,26.30,27.39,28.53,29.72,27.20
Panamá,54.41,47.80,13.90,50.50,44.90,39.80,35.60,31.28,27.48,24.14,13.10
Perú,25.91,25.10,27.10,29.50,31.10,24.10,19.50,18.89,18.31,17.74,18.30
Polonia,33.69,33.00,32.30,30.00,28.20,27.20,25.90,25.37,24.84,24.33,26.80
Portugal,19.87,20.30,22.70,25.00,25.90,26.50,27.10,27.68,28.28,28.88,25.10
Reino Unido,16.06,15.50,15.70,15.30,15.10,13.90,14.20,13.71,13.23,12.78,10.90
Rep. Checa,41.08,40.20,37.10,36.10,33.50,31.90,30.70,30.04,29.40,28.78,32.40
Rep. Dominicana,89.85,85.00,83.80,80.00,79.00,72.60,66.40,62.82,59.42,56.22,48.80
Rusia,7.14,7.50,7.80,9.10,10.30,12.30,12.20,12.81,13.45,14.12,12.20
Sudáfrica,12.81,12.80,12.60,10.20,11.10,12.10,11.90,11.89,11.88,11.87,12.70
Suecia,11.73,11.60,11.50,10.70,10.60,9.80,10.40,10.29,10.18,10.06,10.40
Suiza,19.10,19.20,20.80,20.20,19.40,19.70,20.30,20.40,20.51,20.61,20.20
Tailandia,20.59,19.60,17.00,15.90,15.50,15.00,12.60,12.00,11.42,10.88,12.00
Turquía,17.41,16.60,15.80,13.90,12.90,11.30,11.20,10.68,10.18,9.71,10.30
Venezuela,54.94,53.40,52.90,55.60,51.20,46.30,42.70,41.50,40.34,39.21,40.20
