Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,9.5,9.5,9.2,9.0,8.7,11.7,12,12.0,12.1,12.1,9.7
Argentina,43.1,42,34,36.2,34.6,34.8,34.6,33.7,32.8,32.0,33.2
Australia,18.3,18.3,16,14.8,13.9,14.4,15.5,15.5,15.5,15.6,18.5
Austria,42.6,42.6,43.2,46.3,45.9,45.5,45.5,45.5,45.5,45.6,42.8
Bélgica,16.9,17.2,17.7,18.4,17.8,18.3,17.7,18.0,18.3,18.6,19.9
Bolivia,21.8,22,25.2,29.7,21.9,29.3,29.9,30.1,30.3,30.6,23.5
Brasil,24.5,23.3,20,18.3,19.7,16.2,15.7,15.0,14.3,13.6,15.1
Canadá,64.3,62.6,60.6,58.9,56.7,54.9,54.1,52.7,51.3,50.0,49.5
Chile,17.8,18,19.4,17,14.8,15.6,16.7,16.9,17.1,17.3,20.1
China,19.1,18.1,18,16.8,15.2,14.6,14,13.3,12.6,11.9,11.2
Colombia,33.6,32.6,29.6,29.1,28.5,26.9,26.2,25.4,24.7,24.0,25
Corea del Sur,20.0,19.6,20.3,20.6,18.5,16.8,17.7,17.4,17.0,16.7,16.5
Costa Rica,36.1,36.7,23.2,46.1,41.3,41.2,41,41.7,42.5,43.2,43
Dinamarca,23.1,22.9,23.1,22.3,20.5,21.4,21.6,21.4,21.1,20.9,20.8
El Salvador,39.0,39,50,46.3,43.4,32.2,35.7,35.7,35.7,35.7,39
España,17.5,17,16.8,16.6,15,14.7,15.7,15.2,14.8,14.4,13
EUA,17.7,17.8,17.4,17,16.9,16,16.9,17.0,17.0,17.1,18.4
Finlandia,14.2,14.5,16.2,16.2,16.2,15.6,15.8,16.1,16.5,16.9,17.6
Francia,19.4,19.4,19.1,19.2,18.9,19,18.9,18.9,18.8,18.8,19.1
Grecia,12.4,12.2,12.5,13.3,12.7,12.6,12.9,12.7,12.5,12.3,10.6
Guatemala,32.5,33.2,34.1,34,38.1,33.3,34.9,35.7,36.5,37.3,40.4
Holanda,18.2,17.8,18.2,17.9,16.6,17.1,17.7,17.3,16.9,16.5,14.5
Hungría,25.4,25.3,24.5,29.2,27.2,27.1,26.6,26.5,26.4,24.7,24.6
India,6.7,7.1,6.4,6.1,7.3,8.7,10.6,11.2,11.9,12.6,11.9
Irlanda,41.2,41.1,34.9,35.6,37,37.5,38.3,38.2,38.0,37.9,39.8
Israel,23.1,21.6,15.6,15,13.4,12.4,13.9,13.0,12.2,11.4,11.8
Italia,18.0,17.8,17.9,18,17.2,16.7,16.9,16.8,16.6,16.5,16.5
Japón,18.0,18.3,19.7,20.7,21,20.5,20.5,20.9,21.2,21.6,21.5
Malasia,17.4,16.9,17.3,16.1,14.6,13.3,13,12.6,12.2,13.2,12.8
México,74.2,70.6,61.8,53.7,53.4,50.9,49.6,47.2,49.7,47.3,45.0
Nicaragua,24.0,23.7,24.9,22.6,19.6,20.1,22.5,22.2,22.0,21.7,21.3
Noruega,18.3,17.7,16.1,15.7,14.6,15,14.7,14.2,13.8,13.4,13.3
Panamá,35.8,34.3,33.2,33.3,27.5,27,32.8,31.5,30.2,28.9,23.5
Perú,26.3,26.1,28.6,30.3,18.2,16.5,20.5,20.3,20.2,24.5,24.3
Polonia,30.0,29.9,24.4,24.4,29.6,29,29,28.9,28.7,28.6,28.7
Portugal,27.7,28.1,29.1,29.3,29,29,29.5,29.9,30.3,30.7,31.8
Reino Unido,12.9,12.9,13.5,13,12.8,12.8,14.2,14.2,14.1,14.1,12.5
Rep. Checa,40.5,39.1,32.6,31.7,30,32,31.8,30.7,29.7,29.6,28.6
Rep. Dominicana,52.5,51.5,52.1,48.1,50.2,46.9,46,45.2,44.3,43.5,43.6
Rusia,14.2,14.3,14,15.3,13.6,13.9,13.3,13.4,13.5,13.7,15.5
Sudáfrica,15.5,15.4,16.6,14.2,14.9,12.6,10.9,10.8,10.7,10.6,14.3
Suecia,18.5,18.5,18.7,18.7,17.5,17.3,18.4,18.4,18.3,18.3,18.1
Suiza,26.9,27.4,32.3,32.8,31.6,31.7,32.6,33.2,33.8,34.4,32.3
Tailandia,23.7,23,24.1,23.6,22,20.1,20.3,19.7,18.4,17.8,17.3
Turquía,14.4,13.7,13.6,12.9,11.7,12.8,13.8,13.2,9.9,9.5,9.0
Venezuela,27.3,27.5,28.8,28.8,31.6,30.6,26.6,26.7,28.6,28.8,28.9
