Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"26,171","53,605","30,934","-9,803","41,851","55,545","28,860","16,531","41,352","20,457","39,067"
Argentina,"2,166","2,149","1,652","4,125","5,265","5,537","6,473","9,726","4,017","7,055","7,080"
Australia,"8,261","16,992","8,024","36,827","-24,477","31,246","45,305","45,431","27,938","34,357","67,638"
Austria,"5,906",318,"7,098","3,892","81,288","4,831","68,111","5,122","14,643","-25,304","15,734"
Bélgica,"15,208","18,081","34,544","44,415","33,684","58,828","96,588","184,842","65,835","86,909","102,000"
Bolivia,706,677,197,65,-239,281,366,512,423,622,859
Brasil,"22,457","16,590","10,144","18,166","15,460","19,378","44,579","50,716","31,481","53,345","71,539"
Canadá,"27,711","22,053","7,206",-741,"25,545","64,302","118,412","65,571","15,796","20,633","39,510"
Chile,"4,200","2,550","4,307","7,173","6,984","7,298","12,534","15,150","12,887","15,373","17,299"
China,"44,241","49,308","47,077","54,936","104,109","124,082","156,249","171,535","131,057","243,703","220,143"
Colombia,"2,542","2,134","1,720","3,016","10,252","6,656","9,487","10,158","7,137","6,746","13,388"
Corea del Sur,"3,528","2,392","3,526","9,246","6,309","3,586","1,784","3,311","2,249","1,094","4,661"
Costa Rica,460,659,575,794,861,"1,469","1,896","2,078","1,347","1,466","2,176"
Dinamarca,"9,286","4,431","1,185","-8,804","12,834","2,420","11,809","2,191","3,918","-11,760","13,106"
El Salvador,279,470,141,363,511,241,"1,551",903,369,262,247
España,"28,164","39,993","25,607","24,792","30,531","41,429","83,393","77,884","19,427","46,707","31,419"
EUA,"167,020","84,370","63,750","145,966","138,327","294,288","340,065","332,734","139,557","270,986","257,528"
Finlandia,"3,739","8,276","3,472","2,871","10,876","4,632","21,985","19,403","-8,827","11,371","-5,758"
Francia,"50,343","49,569","43,062","32,829","88,784","88,654","93,071","64,106","26,875","37,825","45,209"
Grecia,"1,585",53,"1,332","2,105",690,"5,409","1,958","5,733","2,763",534,"1,092"
Guatemala,456,111,131,296,540,635,859,751,696,921,"1,081"
Holanda,"51,980","25,457","20,441","4,379","44,361","20,145","127,115","11,331","34,271","-10,271","13,886"
Hungría,"3,944","3,013","2,177","4,282","8,505","18,679","70,631","74,992","-2,966","-20,670","9,629"
India,"5,472","5,626","4,323","5,771","7,269","20,029","25,228","43,406","35,581","26,502","32,190"
Irlanda,"9,573","29,477","22,411","-10,994","47,028","22,081","59,941","23,259","53,935","37,764","11,506"
Israel,"1,771","1,583","3,322","2,947","4,818","15,296","8,798","10,874","4,438","5,152","11,407"
Italia,"14,874","14,699","16,538","16,791","19,637","39,007","40,043","-24,910","40,355","-5,289","28,003"
Japón,"6,191","9,087","6,238","7,807","4,324","-4,623","22,913","29,361","15,481","1,082",79
Malasia,554,"3,203","2,473","4,624","3,925","7,691","9,071","7,573",115,"9,167","12,001"
México,"29,861","23,932","18,554","24,821","24,385","20,181","31,785","27,239","16,316","20,868","20,357"
Nicaragua,150,204,201,250,241,287,382,626,434,508,968
Noruega,"2,104",657,"3,550","2,544","10,530","12,111","25,453","23,902","7,482","20,990",-796
Panamá,467,99,818,"1,019","1,104","2,936","2,023","2,534","1,086","2,182","3,258"
Perú,"1,144","2,156","1,335","1,599","2,579","3,467","5,491","6,924","6,431","8,455","8,233"
Polonia,"5,714","4,131","4,589","12,716","11,051","21,518","25,573","15,031","14,388","17,074","15,296"
Portugal,"6,174","1,755","7,255","1,661","4,428","12,642","5,984","7,519","5,319","6,187","13,074"
Reino Unido,"53,842","25,532","27,612","57,334","253,654","215,059","240,540","261,535","4,059","61,326","28,306"
Rep. Checa,"5,641","8,497","2,021","4,978","11,602","5,522","10,606","6,573","2,869","6,119","5,380"
Rep. Dominicana,"1,079",917,613,909,"1,118","1,529","2,253","2,728","1,695","2,094","2,295"
Rusia,"2,748","3,461","7,958","15,444","12,886","29,701","55,073","75,002","36,500","43,288","52,878"
Sudáfrica,"7,270","1,480",783,701,"6,522",-184,"5,737","9,645","5,354","1,224","5,718"
Suecia,"11,243","12,388","5,009","12,118","20,303","22,719","44,355","41,457","8,946","-2,232","7,889"
Suiza,"9,392","6,785","17,471","1,856","2,665","53,761","48,688","2,921","47,418","10,856",667
Tailandia,"5,067","3,342","5,232","5,860","8,055","9,455","11,327","8,538","4,854","9,104","7,780"
Turquía,"3,352","1,082","1,702","2,785","10,031","20,185","22,047","19,504","8,411","9,038","16,035"
Venezuela,"3,683",782,"2,040","1,483","2,706",198,"2,594",409,"-3,046",777,"5,226"
