Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,5.1,5.0,4.5,4.9,3.8,3.7,4.0,3.8,3.0,2.6,2.4
Argentina,8.0,8.2,8.0,7.7,7.4,7.4,7.5,7.3,7.2,7.6,7.6
Australia,8.3,8.0,8.2,7.8,7.8,8.1,8.1,7.6,7.5,6.8,6.6
Austria,8.2,8.2,7.8,7.2,7.2,7.6,7.7,7.9,8.1,7.7,7.6
Bélgica,3.6,4.7,4.7,4.2,3.9,4.3,3.8,3.6,4.3,4.4,4.5
Bolivia,5.7,5.7,4.7,4.8,5.1,5.1,5.1,4.8,4.8,4.9,4.9
Brasil,7.4,7.3,7.2,7.3,6.6,6.7,6.9,6.5,6.4,6.3,6.2
Canadá,8.7,8.5,8.5,7.7,7.7,7.9,8.5,8.9,8.8,8.4,8.4
Chile,6.5,5.0,4.8,5.0,5.1,5.5,5.9,6.0,6.0,5.9,5.8
China,5.0,5.3,5.3,5.4,4.8,5.0,5.1,4.2,4.2,4.9,4.9
Colombia,5.0,5.2,5.8,3.9,4.7,5.1,5.5,5.4,5.3,5.3,5.3
Corea del Sur,6.4,6.7,6.0,7.1,7.3,7.7,8.1,8.2,7.8,7.3,7.4
Costa Rica,8.5,8.8,8.3,7.9,7.3,7.6,7.9,7.4,6.8,7.1,6.9
Dinamarca,4.2,5.3,3.7,3.1,4.4,4.9,5.2,4.8,4.7,4.8,4.9
El Salvador,6.1,6.2,6.3,6.4,5.8,6.0,6.1,6.3,6.3,5.5,5.5
España,9.1,9.3,9.0,8.6,8.7,8.5,8.4,8.1,8.2,8.5,8.4
EUA,6.9,7.7,7.0,7.9,7.4,7.3,7.4,7.1,6.9,6.6,6.6
Finlandia,7.9,8.2,8.0,7.8,7.6,7.8,7.3,6.8,6.7,6.2,6.1
Francia,6.7,7.0,7.5,7.5,7.1,7.4,7.3,6.9,7.1,6.8,6.8
Grecia,4.0,4.3,4.0,3.5,5.6,5.8,6.0,6.1,6.0,5.6,5.8
Guatemala,7.6,7.0,6.3,8.2,7.3,7.6,7.3,7.3,7.7,7.6,7.6
Holanda,5.5,5.5,6.2,6.1,6.9,6.3,6.1,5.7,5.4,5.3,5.3
Hungría,8.3,7.7,7.5,7.8,8.2,7.9,8.0,7.8,7.7,7.9,7.8
India,7.5,7.7,7.7,7.0,7.3,7.3,7.4,7.4,7.5,7.4,7.3
Irlanda,7.0,6.7,6.2,7.5,7.0,6.7,6.5,6.3,6.5,6.4,6.3
Israel,5.0,4.5,5.7,5.8,6.0,6.0,5.6,5.4,5.6,5.2,5.2
Italia,6.3,6.2,5.7,6.4,6.0,7.0,6.8,5.9,5.0,4.8,4.7
Japón,6.3,6.7,5.8,6.6,6.3,6.3,6.0,5.6,5.5,6.3,6.3
Malasia,5.4,6.0,6.0,5.8,6.1,6.1,6.3,6.4,6.3,6.1,6.1
México,8.5,8.2,8.5,7.2,7.0,7.4,7.7,7.3,7.3,7.3,7.2
Nicaragua,3.2,4.0,4.7,3.7,3.7,4.4,4.9,4.4,4.9,4.9,5.2
Noruega,7.2,6.2,8.0,4.9,4.9,5.5,5.4,5.1,5.3,5.0,4.8
Panamá,5.4,5.2,5.2,5.8,5.1,5.3,5.6,5.6,6.3,6.3,6.4
Perú,6.1,6.2,6.0,5.3,5.2,5.6,6.2,6.5,6.7,6.8,6.9
Polonia,5.1,5.5,5.0,6.2,5.2,5.6,6.1,6.4,6.4,6.0,6.1
Portugal,8.9,8.0,8.2,8.2,7.8,7.8,7.5,7.5,7.7,7.7,7.6
Reino Unido,4.0,4.3,3.7,4.7,4.8,4.8,5.0,4.3,4.2,4.1,4.1
Rep. Checa,6.9,6.8,6.7,6.0,6.7,6.7,6.6,6.2,6.1,6.1,6.1
Rep. Dominicana,7.9,7.3,7.3,6.5,6.7,6.6,6.5,6.6,6.7,6.8,6.7
Rusia,8.3,8.8,8.8,7.9,8.3,8.6,8.6,8.3,8.6,8.6,8.6
Sudáfrica,7.2,7.8,7.2,4.4,5.1,5.5,5.5,5.4,5.4,5.4,5.2
Suecia,5.8,5.7,5.0,5.8,5.0,5.4,5.3,5.7,6.0,5.5,5.4
Suiza,4.8,5.3,5.3,6.3,6.3,6.7,6.5,6.2,6.1,5.7,5.8
Tailandia,8.2,8.3,8.5,7.1,7.2,7.3,7.2,7.2,7.3,7.5,7.4
Turquía,7.7,6.8,7.2,7.2,6.7,6.9,7.1,6.5,6.0,6.0,5.8
Venezuela,4.6,3.0,2.5,4.6,4.8,4.7,3.9,3.7,3.7,3.6,3.5
