Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"654,345","715,763","865,779","1,051,002","1,142,951","1,321,146","1,567,685","1,744,886","1,398,277","1,543,868","1,806,681"
Argentina,"30,977","28,255","32,362","38,677","45,923","53,002","64,218","79,932","65,581","80,040","97,342"
Australia,"83,715","81,504","88,231","104,197","125,398","146,709","170,209","209,331","209,521","223,512","293,650"
Austria,"92,156","101,039","122,507","150,040","164,200","183,150","220,899","245,468","192,060","203,882","239,282"
Bélgica,"180,990","193,878","230,444","274,651","296,892","323,027","379,399","430,931","344,568","374,386","433,238"
Bolivia,"1,626","1,710","2,069","2,732","3,395","4,783","5,484","7,488","6,194","8,093","10,566"
Brasil,"67,434","71,078","82,798","109,023","133,460","156,460","182,555","225,828","178,042","232,982","294,453"
Canadá,"311,508","305,350","330,079","381,224","428,662","462,001","497,829","527,698","384,504","464,132","541,063"
Chile,"22,332","22,391","26,405","38,094","47,749","65,633","75,856","74,557","63,918","82,331","94,630"
China,"299,409","365,395","485,003","655,827","836,888","1,061,681","1,342,206","1,581,713","1,333,300","1,815,605","2,296,099"
Colombia,"15,111","14,509","15,694","19,634","24,689","28,709","34,322","43,420","37,570","45,593","63,186"
Corea del Sur,"180,342","190,781","227,692","295,166","331,755","377,701","439,871","493,726","414,780","530,567","626,880"
Costa Rica,"6,804","7,140","8,175","8,602","9,683","11,067","12,822","13,554","12,429","13,784","15,279"
Dinamarca,"75,735","82,050","96,324","110,906","126,233","142,868","162,618","188,223","147,951","157,831","178,181"
El Salvador,"3,568","3,772","4,073","4,397","4,383","4,764","5,204","5,761","4,793","5,553","6,475"
España,"173,729","187,540","232,600","270,934","290,239","325,074","387,786","422,188","348,225","375,145","446,971"
EUA,"1,027,700","1,003,000","1,041,000","1,180,200","1,305,100","1,471,000","1,661,700","1,846,800","1,587,400","1,844,400","2,094,200"
Finlandia,"51,736","54,786","63,568","75,365","81,759","94,604","112,755","127,378","89,397","94,743","107,049"
Francia,"379,546","399,374","464,381","537,428","563,188","609,571","693,536","763,136","612,193","651,676","747,488"
Grecia,"32,286","31,848","39,938","52,727","55,721","60,589","72,659","82,427","61,839","65,018","72,566"
Guatemala,"5,276","5,464","5,649","6,465","6,818","7,537","8,721","9,674","9,047","10,666","12,729"
Holanda,"269,545","280,868","339,163","404,923","444,527","493,608","580,628","664,214","546,022","605,912","693,917"
Hungría,"37,951","41,991","51,298","64,566","72,754","87,488","110,657","125,947","98,254","111,324","129,199"
India,"60,964","73,453","90,838","126,648","160,838","199,974","253,078","288,902","274,016","383,540","455,266"
Irlanda,"104,798","115,406","132,248","155,456","164,809","176,514","208,570","219,989","203,335","207,645","231,654"
Israel,"40,462","39,335","43,401","52,309","57,261","62,190","70,919","81,220","67,577","80,166","89,660"
Italia,"301,804","312,200","369,763","437,176","462,168","517,319","613,722","656,574","501,332","542,775","632,726"
Japón,"434,656","447,955","510,877","615,047","654,357","704,558","773,107","858,851","639,245","833,704","893,041"
Malasia,"102,436","109,221","117,854","143,928","162,047","182,517","205,492","229,832","184,892","231,385","263,628"
México,"171,443","174,099","177,567","202,141","230,077","266,337","289,310","306,979","243,869","313,787","365,243"
Nicaragua,"1,014",985,"1,102","1,336","1,542","1,835","2,165","2,624","2,514","3,115","3,829"
Noruega,"78,222","78,939","90,697","108,690","134,064","154,283","173,601","212,250","147,752","171,883","204,496"
Panamá,"8,587","8,279","8,225","9,587","11,674","13,147","16,072","19,596","19,625","20,606","21,636"
Perú,"8,443","9,126","10,872","14,959","19,917","26,334","31,189","34,578","30,433","39,170","50,742"
Polonia,"51,520","56,748","72,225","94,769","112,706","137,881","173,349","211,227","169,955","198,463","227,117"
Portugal,"33,783","36,512","44,730","51,995","53,063","62,364","74,590","81,740","65,620","70,475","84,289"
Reino Unido,"400,569","420,604","479,544","560,764","618,955","714,289","760,579","789,700","629,614","689,054","794,590"
Rep. Checa,"40,310","45,206","56,308","71,783","83,798","99,354","123,137","145,297","116,265","132,203","157,447"
Rep. Dominicana,"8,396","8,630","9,162","9,329","10,212","10,783","11,889","11,674","10,409","11,879","13,859"
Rusia,"113,116","121,649","151,698","203,415","268,952","333,908","392,044","520,004","341,585","445,513","576,863"
Sudáfrica,"35,695","36,578","46,900","57,890","67,644","78,318","89,549","98,005","77,548","99,399","117,660"
Suecia,"105,275","111,354","136,970","166,407","179,476","203,956","239,906","260,235","194,602","229,050","269,464"
Suiza,"117,278","124,043","143,571","168,571","183,071","205,918","244,931","284,521","256,604","285,541","337,582"
Tailandia,"76,088","81,448","93,687","114,062","129,738","152,514","181,341","208,371","180,251","227,336","265,972"
Turquía,"53,786","58,639","69,675","92,361","105,557","120,355","144,466","174,608","143,292","155,069","183,988"
Venezuela,"27,944","28,270","28,309","40,706","57,709","67,003","71,714","97,273","59,531","112,355","94,764"
