Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,4.6,4.6,4.5,4.5,4.4,4.4,4.5,4.6,4.5,4.3,
Argentina,,5.5,5.3,5.2,,,,,,,
Australia,7.3,7.3,7.4,7.4,7.3,7.6,7.7,7.7,7.3,7.3,
Austria,2.3,2.3,2.3,2.1,2.2,2.1,2.4,2.3,2.3,2.3,
Bélgica,3.0,3.0,2.9,2.8,2.5,2.6,2.7,2.9,2.6,2.5,
Bolivia,,7.1,7.6,7.1,6.8,6.6,7.7,,,,
Brasil,8.6,8.4,6.1,6.5,6.0,5.6,5.7,5.7,6.1,6.0,
Canadá,6.2,6.4,6.3,6.5,6.3,6.7,7.1,7.3,7.3,7.6,
Chile,18.1,17.4,17.1,18.5,18.8,19.7,18.7,18.0,14.3,14.7,
China,,20.3,20.3,18.6,15.3,17.9,11.6,16.1,,,
Colombia,16.9,19.4,16.2,15.6,12.5,13.6,12.8,18.4,19.8,19.8,
Corea del Sur,14.5,14.6,13.0,13.1,13.3,12.9,13.1,13.6,13.4,13.7,
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dinamarca,4.6,4.5,4.3,4.2,4.1,4.4,3.7,3.8,3.3,3.4,
El Salvador,,8.0,7.2,6.0,5.6,5.1,5.7,5.1,4.7,5.0,
España,3.8,4.3,4.3,4.2,4.2,4.7,4.6,4.4,3.8,3.4,
EUA,15.6,16.5,17.9,18.9,18.9,18.8,18.6,18.8,18.0,17.9,18.3
Finlandia,3.4,3.4,3.8,3.9,3.8,3.8,3.6,3.8,3.7,3.6,
Francia,5.5,5.4,5.5,5.6,5.4,5.3,5.3,5.2,5.3,4.6,
Grecia,7.7,7.5,6.2,6.4,6.9,6.8,6.2,6.5,6.3,4.9,
Guatemala,8.0,6.0,5.7,3.8,3.0,3.3,3.2,3.6,3.1,3.2,
Holanda,3.9,3.8,3.8,3.8,3.8,3.7,3.7,3.5,3.3,3.2,
Hungría,4.3,3.7,3.9,3.5,3.4,2.8,3.0,2.7,2.5,2.4,
India,19.1,17.9,17.5,19.0,18.5,16.8,15.6,15.1,17.5,17.9,
Irlanda,2.5,2.2,2.0,2.0,1.8,1.7,1.6,1.6,1.4,1.0,
Israel,17.0,19.0,19.5,18.6,17.6,18.4,17.6,17.0,16.8,15.9,
Italia,4.9,5.1,5.1,5.1,4.8,4.5,4.3,4.5,4.1,4.1,
Japón,,,,,6.0,6.1,6.3,5.9,5.3,5.5,
Malasia,11.1,12.6,14.8,12.0,12.3,11.3,11.3,9.8,9.0,8.3,
México,,,,,,,,,,,
Nicaragua,3.7,5.5,5.0,4.4,4.5,4.1,4.1,3.4,3.6,3.4,
Noruega,5.2,5.6,5.3,5.3,4.9,4.7,4.8,4.6,4.5,4.3,
Panamá,,,,,,,,,,,
Perú,9.6,8.8,8.5,8.6,8.5,8.1,6.9,6.5,7.7,7.6,
Polonia,5.4,5.4,4.9,5.1,5.3,5.4,5.9,4.9,5.1,5.2,
Portugal,5.1,5.2,4.9,5.0,5.1,5.1,4.8,4.7,4.6,4.7,
Reino Unido,6.6,6.5,6.5,6.3,5.9,5.9,5.9,5.8,5.8,5.6,
Rep. Checa,5.4,5.3,5.5,5.3,5.4,4.8,4.6,4.0,3.8,3.5,
Rep. Dominicana,,,,5.2,5.6,5.0,4.6,4.5,4.4,,
Rusia,,19.3,18.7,17.9,18.7,18.4,15.0,16.3,14.0,14.1,
Sudáfrica,5.6,5.8,5.6,5.0,5.1,4.7,4.4,4.2,4.2,3.9,
Suecia,5.2,4.9,4.8,4.5,4.3,4.2,4.4,4.0,3.7,3.9,
Suiza,5.8,5.4,5.1,5.0,4.9,4.7,4.7,4.8,,,
Tailandia,,,8.5,6.9,6.7,6.7,7.7,8.6,9.4,8.2,
Turquía,,,,,,11.5,9.4,10.1,9.6,9.5,
Venezuela,6.5,4.9,4.7,5.2,5.6,,,,,,
