Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"721,657","746,851","911,598","1,063,614","1,170,394","1,357,536","1,612,191","1,767,244","1,412,506","1,549,777","1,839,477"
Argentina,"40,733","23,959","29,907","40,934","46,543","52,947","65,967","81,209","61,877","80,717","101,148"
Australia,"97,372","108,890","133,258","168,499","195,054","220,859","273,315","319,029","267,122","330,530","373,499"
Austria,"103,018","106,732","131,148","160,293","179,665","199,682","245,327","264,781","211,795","226,193","270,321"
Bélgica,"210,015","227,408","252,392","303,834","341,345","380,085","460,736","526,936","412,206","425,713","503,916"
Bolivia,"2,312","2,380","2,422","2,792","3,363","4,091","5,002","6,664","6,065","7,129","9,910"
Brasil,"95,676","83,235","85,559","103,788","127,123","154,393","198,574","273,320","217,189","291,252","360,466"
Canadá,"312,214","311,225","339,653","386,210","445,976","499,918","555,764","589,442","470,996","569,108","651,863"
Chile,"25,395","24,842","29,670","39,535","51,187","66,137","78,930","89,247","66,977","88,409","100,154"
China,"299,888","351,302","475,521","632,820","767,648","912,476","1,109,663","1,316,183","1,229,927","1,688,882","2,054,813"
Colombia,"19,399","18,963","20,569","24,783","31,435","37,808","47,273","56,851","49,280","59,990","79,850"
Corea del Sur,"179,160","192,453","223,280","279,308","328,707","389,249","456,181","543,068","412,782","532,609","635,958"
Costa Rica,"7,795","8,329","9,419","9,764","11,779","13,580","15,675","17,565","13,585","15,683","18,366"
Dinamarca,"78,918","84,921","96,890","114,038","135,486","157,826","187,227","210,767","156,821","159,820","182,133"
El Salvador,"6,213","6,390","7,058","7,755","8,242","9,270","10,474","11,219","8,624","9,791","11,452"
España,"218,730","233,701","290,066","360,114","409,613","490,172","606,769","646,969","474,717","495,328","554,687"
EUA,"1,632,200","1,655,838","1,793,226","2,119,214","2,464,816","2,853,546","3,083,635","3,207,836","2,427,810","2,835,624","3,182,655"
Finlandia,"47,998","51,102","63,919","75,815","88,736","102,571","124,551","142,970","98,926","108,482","125,139"
Francia,"414,076","430,323","520,553","622,735","700,979","799,152","946,216","1,055,534","875,784","919,959","1,056,840"
Grecia,"44,943","44,628","56,847","70,300","77,743","94,476","120,125","143,555","102,653","95,806","102,096"
Guatemala,"6,472","7,337","7,799","10,711","11,886","13,828","15,910","17,052","14,190","16,680","19,844"
Holanda,"281,358","288,399","350,117","411,339","465,234","531,610","652,781","714,989","549,756","600,737","676,967"
Hungría,"43,020","48,630","60,912","78,024","85,947","103,486","132,457","153,549","117,175","127,990","139,465"
India,"78,977","82,839","101,345","139,922","194,274","239,713","298,582","401,046","350,203","462,815","552,329"
Irlanda,"130,900","143,112","165,184","197,875","224,042","266,646","337,655","356,109","281,811","279,398","304,946"
Israel,"51,899","49,847","52,081","59,460","64,750","71,066","84,620","95,523","73,864","88,235","105,363"
Italia,"336,055","360,226","429,976","495,980","540,324","620,522","733,585","808,883","607,005","670,764","760,742"
Japón,"455,501","435,401","478,222","570,008","645,487","717,712","784,663","937,651","694,242","837,060","1,026,761"
Malasia,"94,844","100,430","106,197","129,264","142,299","160,331","182,624","197,959","160,256","209,619","242,114"
México,"203,859","202,260","204,003","231,662","263,407","303,795","334,493","360,681","278,296","347,603","408,455"
Nicaragua,"2,439","2,464","2,651","3,107","3,626","4,167","4,907","5,746","4,859","5,801","7,228"
Noruega,"58,345","62,890","73,785","89,909","106,743","125,709","162,894","181,708","129,749","147,839","168,681"
Panamá,"9,766","8,885","9,188","10,885","12,925","14,579","17,816","20,964","19,324","23,260","30,032"
Perú,"11,376","11,669","13,286","16,547","20,906","26,853","33,880","44,765","35,607","47,214","58,284"
Polonia,"62,306","67,090","83,408","114,958","128,851","163,496","215,085","263,637","197,069","234,248","272,553"
Portugal,"55,771","55,831","65,848","80,190","85,889","101,768","120,348","138,123","107,655","113,238","118,991"
Reino Unido,"615,087","614,320","683,524","828,347","968,468","1,182,266","1,361,087","1,266,174","879,234","951,278","1,089,990"
Rep. Checa,"46,471","52,791","65,510","86,253","89,672","108,138","139,073","161,624","128,420","147,912","173,563"
Rep. Dominicana,"11,426","11,603","10,580","11,251","13,668","16,309","18,364","20,443","16,326","19,857","22,288"
Rusia,"85,374","96,723","127,419","155,438","200,604","268,185","359,779","478,265","326,699","408,292","516,386"
Sudáfrica,"37,308","37,495","50,762","66,423","78,267","95,499","114,803","122,618","91,193","112,194","134,696"
Suecia,"107,145","109,525","132,274","162,251","181,420","210,245","254,268","279,387","204,647","243,218","285,558"
Suiza,"148,427","144,448","167,340","194,184","239,153","265,891","338,983","384,846","326,005","374,280","472,600"
Tailandia,"75,524","80,813","93,201","116,635","143,550","158,214","176,914","218,917","169,454","227,346","253,832"
Turquía,"51,943","60,310","81,188","109,694","132,678","157,794","191,488","227,062","164,647","208,474","265,205"
Venezuela,"28,515","21,512","18,061","27,241","36,093","48,808","64,114","70,735","55,767","56,884","68,929"
