Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,"24,175","26,690","30,104","36,390","40,531","45,538","49,332","53,398","47,452","49,133","52,744"
Argentina,"2,756","1,716","2,306","2,660","3,209","3,899","4,984","5,296","4,476","5,629","6,046"
Australia,"12,804","13,624","16,647","20,453","20,023","20,924","25,803","27,997","27,864","30,378","33,120"
Austria,"11,511","12,334","15,128","17,251","18,471","18,886","21,088","24,346","21,220","20,931","22,221"
Bélgica,"8,304","7,598","8,848","10,089","10,881","11,625","12,371","13,106","11,448","11,431","11,802"
Bolivia,119,143,243,283,345,330,326,302,306,339,376
Brasil,"1,844","2,142","2,673","3,389","4,168","4,577","5,284","6,109","5,635","6,181","6,976"
Canadá,"12,680","12,744","12,236","15,135","16,006","16,844","17,949","18,228","15,555","18,281","18,962"
Chile,"1,184","1,221","1,309","1,571","1,682","1,891","2,226","2,537","2,350","2,413","2,591"
China,"19,006","21,742","18,707","27,755","31,842","37,132","41,126","44,130","42,632","50,154","55,265"
Colombia,"1,483","1,237","1,191","1,369","1,574","2,009","2,262","2,499","2,671","2,797","2,980"
Corea del Sur,"7,919","7,621","7,005","8,226","8,290","8,508","9,288","13,479","13,304","13,805","14,594"
Costa Rica,"1,339","1,292","1,424","1,586","1,810","1,865","2,221","2,533","2,001","2,189","2,299"
Dinamarca,"4,003","4,791","5,271","5,652","5,293","5,562","5,978","6,281","5,617","5,704","5,910"
El Salvador,452,521,664,748,656,686,793,711,549,646,669
España,"33,829","35,468","43,863","49,996","53,066","57,543","65,020","70,434","59,539","58,810","62,154"
EUA,"109,103","104,427","101,535","115,689","126,770","132,914","148,448","170,079","149,957","165,777","172,859"
Finlandia,"2,065","2,235","2,676","2,975","3,070","3,509","4,287","4,861","4,141","4,362","4,701"
Francia,"38,385","40,537","45,990","52,108","51,691","54,286","63,771","67,116","58,543","56,654","58,903"
Grecia,"9,216","10,005","10,842","12,809","13,453","14,495","15,687","17,586","14,796","12,579","12,976"
Guatemala,588,647,646,630,791,919,"1,055","1,068","1,179","1,378","1,501"
Holanda,"11,147","11,745","14,603","16,495","16,528","17,529","19,922","20,523","17,869","18,690","19,681"
Hungría,"4,191","3,774","4,119","4,009","4,761","4,998","5,628","7,113","6,740","6,346","6,615"
India,"3,342","3,300","4,560","6,307","7,659","8,915","11,234","12,462","11,509","14,673","17,013"
Irlanda,"3,789","4,228","5,206","6,075","6,780","7,664","9,263","9,967","8,392","8,071","8,705"
Israel,"2,854","2,426","2,473","2,908","3,427","3,334","3,789","5,030","4,332","5,474","5,842"
Italia,"26,916","28,192","32,591","37,870","38,374","41,644","46,144","48,757","41,938","40,058","41,683"
Japón,"5,750","6,069","11,475","14,343","15,555","11,490","12,422","13,781","12,537","15,356","16,941"
Malasia,"7,627","8,084","6,799","9,183","10,389","12,280","17,948","18,553","17,231","18,315","19,992"
México,"9,190","9,547","10,058","11,610","12,801","13,329","13,988","14,647","12,309","12,417","12,796"
Nicaragua,135,135,160,192,206,231,255,301,334,309,336
Noruega,"2,380","2,581","2,989","3,531","4,030","4,264","5,102","5,857","4,444","5,083","5,484"
Panamá,665,710,804,903,"1,108","1,425","1,806","2,208","2,279","2,552","2,919"
Perú,763,836,"1,023","1,232","1,438","1,775","2,007","2,396","2,440","2,741","3,115"
Polonia,"5,121","4,971","4,733","6,499","7,128","8,122","11,686","12,837","9,843","9,986","10,676"
Portugal,"6,236","6,595","7,634","8,858","9,008","10,438","12,917","14,047","12,315","12,969","13,954"
Reino Unido,"26,137","27,819","30,736","37,166","39,411","43,803","48,193","46,285","38,564","39,945","41,676"
Rep. Checa,"3,104","3,376","4,069","4,931","5,772","6,702","7,774","8,871","7,936","8,017","8,815"
Rep. Dominicana,"2,798","2,730","3,128","3,152","3,518","3,917","4,064","4,166","4,049","4,209","4,384"
Rusia,"4,726","5,278","5,879","7,262","7,806","9,720","12,427","15,821","12,369","13,379","14,846"
Sudáfrica,"3,256","3,695","6,674","7,571","8,629","9,211","10,226","9,178","8,684","10,308","11,567"
Suecia,"5,200","5,671","6,548","7,686","8,589","9,394","12,277","12,866","12,114","13,316","14,629"
Suiza,"9,290","9,117","10,493","11,404","11,937","12,852","14,721","17,566","16,667","17,847","19,051"
Tailandia,"9,378","10,388","10,456","13,054","12,102","16,614","20,623","22,497","19,421","23,407","25,649"
Turquía,"10,067","11,901","13,203","15,888","19,721","18,533","20,719","25,032","24,601","24,784","27,121"
Venezuela,677,484,378,554,722,843,894,984,853,672,672
