Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Alemania,72,72,76,74,78,81,81,79,79,79,83.00
Argentina,69,67,69,63,64,65,65,67,67,67,68.00
Australia,59,57,57,58,61,63,65,65,65,65,68.00
Austria,75,74,76,72,75,77,75,69,69,69,73.00
Bélgica,71,69,69,71,73,74,76,71,71,71,74.00
Bolivia,47,45,47,52,54,55,55,53,53,53,55.00
Brasil,59,57,58,60,65,69,69,71,71,71,75.00
Canadá,79,77,78,72,76,80,82,77,77,77,78.00
Chile,56,54,55,54,57,60,60,61,61,61,62.00
China,56,55,56,58,63,68,70,71,71,71,72.00
Colombia,56,53,54,52,55,58,58,57,57,57,59.00
Corea del Sur,60,60,62,59,64,68,69,70,70,70,73.00
Costa Rica,45,44,47,46,49,52,51,50,50,50,51.00
Dinamarca,72,71,72,71,72,73,74,71,71,71,72.00
El Salvador,44,44,42,44,48,51,51,55,55,55,55.00
España,67,64,68,66,69,72,75,73,73,73,74.00
EUA,75,77,78,73,77,81,81,80,80,80,86.00
Finlandia,74,72,71,70,74,77,73,72,72,72,75.00
Francia,90,90,91,87,90,93,95,89,89,89,92.00
Grecia,63,63,64,63,66,69,68,65,65,65,67.00
Guatemala,47,47,46,48,53,57,55,57,57,57,62.00
Holanda,72,68,69,66,71,75,74,71,71,71,75.00
Hungría,66,63,64,62,65,67,67,62,62,62,64.00
India,64,62,62,61,64,67,68,71,71,71,74.00
Irlanda,62,64,65,62,63,63,64,62,62,62,66.00
Israel,41,40,41,42,44,46,48,48,48,48,48.00
Italia,76,76,77,74,78,82,83,82,82,82,86.00
Japón,64,66,68,69,72,74,75,73,73,73,78.00
Malasia,54,53,54,56,59,61,59,60,60,60,58.00
México,62,61,63,61,63,65,66,66,66,66,68.00
Nicaragua,44,44,44,44,46,47,47,47,47,47,50.00
Noruega,68,65,65,63,67,70,72,69,69,69,72.00
Panamá,42,43,42,44,44,48,52,51,51,51,52.00
Perú,56,52,53,56,58,60,59,58,58,58,63.00
Polonia,70,68,69,67,70,73,74,67,67,67,66.00
Portugal,67,65,67,64,68,72,72,71,71,71,71.00
Reino Unido,79,79,80,76,77,77,80,75,75,75,79.00
Rep. Checa,62,61,63,62,64,65,65,60,60,60,60.00
Rep. Dominicana,45,45,46,47,48,51,51,52,52,52,54.00
Rusia,68,69,70,71,72,73,75,75,75,75,77.00
Sudáfrica,53,52,53,55,57,58,57,59,59,59,61.00
Suecia,76,76,77,75,77,78,77,72,72,72,76.00
Suiza,69,67,68,66,67,67,69,67,67,67,70.00
Tailandia,55,54,54,51,54,57,60,57,57,57,58.00
Turquía,65,64,65,60,63,66,67,68,68,68,68.00
Venezuela,56,54,55,52,56,60,58,55,55,55,58.00
